PostNumber,SymptomName,PostLink
12,"['Gonorrhea', 'Geroderma osteodysplastica', 'WILSON-TURNER X-LINKED MENTAL RETARDATION SYNDROME', 'Carpal Tunnel Syndrome', 'Dehydration', 'Coronavirus Infections', 'Dandy-Walker Syndrome', 'Seizures', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=44
13,"['Pelvic Organ Prolapse', 'Pain, Postoperative', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=52
14,"['Infantile Neuroaxonal Dystrophy', 'Lung Diseases, Obstructive', 'Simian Acquired Immunodeficiency Syndrome', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=57
15,"['Gonorrhea', 'Geroderma osteodysplastica', 'Malignant hyperpyrexia due to anesthesia', ""Little's Disease"", 'Carpal Tunnel Syndrome', 'Lung Diseases, Obstructive', 'Simian Acquired Immunodeficiency Syndrome', 'Signs and Symptoms', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=61
16,"[""Little's Disease"", 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=72
17,"['Spastic syndrome', 'Chronic otitis media', 'Lung Diseases, Obstructive', 'Acute gastroenteritis', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=64
18,"['Preeclamptic toxemia', 'Gonorrhea', 'Geroderma osteodysplastica', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=74
19,"['Gonorrhea', 'Geroderma osteodysplastica', 'Pallister-Hall syndrome', 'Communicable Diseases', 'Palmar-plantar erythrodysesthesia syndrome', 'Coronavirus Infections', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=75
20,"['Gonorrhea', 'Geroderma osteodysplastica', 'Communicable Diseases', ""Little's Disease"", 'Coronavirus Infections', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=53
21,"['Malignant hyperpyrexia due to anesthesia', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=76
22,"['Gonorrhea', 'Geroderma osteodysplastica', 'Pallister-Hall syndrome', 'Dermatofibrosis lenticularis disseminata', 'Testicular regression syndrome', 'Disease', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=77
23,"[""Little's Disease"", 'Chronic Obstructive Airway Disease', 'Signs and Symptoms', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=78
24,"['Gonorrhea', 'Geroderma osteodysplastica', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=79
25,"['Infantile Neuroaxonal Dystrophy', 'Simian Acquired Immunodeficiency Syndrome', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=83
26,"['nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=58
27,"['Gonorrhea', 'Geroderma osteodysplastica', 'Chronic otitis media', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=86
28,"['Hypertensive disease', 'Gonorrhea', 'Geroderma osteodysplastica', 'Malignant hyperpyrexia due to anesthesia', 'Myocardial Infarction', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=89
29,"['Gonorrhea', 'Geroderma osteodysplastica', 'Malignant hyperpyrexia due to anesthesia', 'Seizures', 'Gait, Drop Foot', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=54
30,"['Gonorrhea', 'Geroderma osteodysplastica', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=70
31,"['Malignant hyperpyrexia due to anesthesia', 'Coronary Arteriosclerosis', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=85
32,"['Gonorrhea', 'Geroderma osteodysplastica', 'Communicable Diseases', 'SHORT STATURE, IDIOPATHIC, X-LINKED', 'Flatulence', 'Sensory Discomfort', 'Exhaustion', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=92
33,"['Gonorrhea', 'Geroderma osteodysplastica', 'Malignant hyperpyrexia due to anesthesia', 'Amelogenesis imperfecta nephrocalcinosis', 'Tired', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=90
34,"['Gonorrhea', 'Geroderma osteodysplastica', 'Malignant hyperpyrexia due to anesthesia', 'Wolf-Hirschhorn Syndrome', 'Gray Platelet Syndrome', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=94
35,"['Gonorrhea', 'Geroderma osteodysplastica', 'Communicable Diseases', 'Malignant hyperpyrexia due to anesthesia', 'Palmar-plantar erythrodysesthesia syndrome', 'sick to stomach', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=96
36,"['Malignant hyperpyrexia due to anesthesia', 'Testicular regression syndrome', 'Signs and Symptoms', 'Tired', 'Pain', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=97
37,"['Gonorrhea', 'Geroderma osteodysplastica', 'Malignant hyperpyrexia due to anesthesia', 'Disease', 'Dizziness', 'Slow respiration', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=63
38,"['Gonorrhea', 'Geroderma osteodysplastica', 'Infantile Neuroaxonal Dystrophy', 'Malignant hyperpyrexia due to anesthesia', 'Amelogenesis imperfecta nephrocalcinosis', 'Wolf-Hirschhorn Syndrome', 'Simian Acquired Immunodeficiency Syndrome', 'Coronavirus Infections', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=98
39,"['Signs and Symptoms', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=99
40,"['Gonorrhea', 'Geroderma osteodysplastica', ""Little's Disease"", 'Muscle Cramp', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=100
41,"['Gonorrhea', 'Geroderma osteodysplastica', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=91
42,"['nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=103
43,"['Gonorrhea', 'Geroderma osteodysplastica', 'Malignant hyperpyrexia due to anesthesia', 'Signs and Symptoms', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=93
44,"['Pallister-Hall syndrome', 'Disorder of face', 'Lung Diseases, Obstructive', 'Coronavirus Infections', 'Seizures', 'Signs and Symptoms', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=105
45,"['Gonorrhea', 'Geroderma osteodysplastica', ""Little's Disease"", 'Bronchopulmonary Dysplasia', 'POPLITEAL PTERYGIUM SYNDROME, LETHAL TYPE', 'Disease', 'Pain', 'Dyspnea on exertion', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=106
46,"['Gonorrhea', 'Geroderma osteodysplastica', 'Hantavirus Infections', 'Autoimmune disease (systemic) NOS', 'Malignant hyperpyrexia due to anesthesia', 'Cancer-Associated Retinopathy', 'Myocardial Ischemia', 'Gray Platelet Syndrome', 'Tired', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=104
47,"['Gonorrhea', 'Geroderma osteodysplastica', 'Malignant hyperpyrexia due to anesthesia', 'Hepatic Encephalopathy', 'Signs and Symptoms', 'Hyperextension', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=107
48,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=109
