PostNumber,SymptomName,PostLink
11,"['Gonorrhea', 'SHORT STATURE, IDIOPATHIC, X-LINKED', 'mitral annulus calcification', 'Lung Diseases, Obstructive', 'Bronchiectasis', 'Simian Acquired Immunodeficiency Syndrome', 'Coronavirus Infections', 'Gray Platelet Syndrome', 'Disease', 'Tired', 'Fatigue', 'Macule', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://connect.mayoclinic.org/discussion/covid-vaccine-reaction-with-medicine/
12,"['Gonorrhea', 'Geroderma osteodysplastica', 'Vaccinia', 'Communicable Diseases', ""Little's Disease"", 'Anemia, Diamond-Blackfan', 'Influenza', 'STUVE-WIEDEMANN SYNDROME', 'Cancer-Associated Retinopathy', 'Elliptocytosis, Hereditary', 'Wiskott-Aldrich Syndrome', 'Fatigue', 'Hyperextension', 'Pain', 'Breathing abnormally deep', 'Sore to touch', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://connect.mayoclinic.org/discussion/covid-19-and-feeling-helpless/
13,"['nan', 'nan', 'nan', 'nan']",https://connect.mayoclinic.org/discussion/should-mayo-patients-report-their-vaccine-to-mayo/
14,"['Communicable Diseases', 'Pelvic Organ Prolapse', 'Carpal Tunnel Syndrome', 'Chronic articular rheumatism', 'Bronchiectasis', 'Lung diseases', 'Kartagener Syndrome', 'Chronic disease', 'Acute gastroenteritis', 'Gonorrhea', 'Geroderma osteodysplastica', 'Oculocerebrocutaneous syndrome', 'Infantile Neuroaxonal Dystrophy', 'Feline urological syndrome', ""Little's Disease"", 'Lung Diseases, Obstructive', 'Simian Acquired Immunodeficiency Syndrome', 'Wiskott-Aldrich Syndrome', 'Gray Platelet Syndrome', 'Disease', 'Pain, Postoperative', 'Nervousness', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://connect.mayoclinic.org/discussion/help-find-a-vaccine-for-covid-19/
15,"['Gonorrhea', 'Geroderma osteodysplastica', 'Allergic disposition', 'Sexually Transmitted Diseases', 'Diabetes Mellitus, Non-Insulin-Dependent', 'Vaccines allergy', 'Acute gastroenteritis', 'Gray Platelet Syndrome', 'Disease', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://connect.mayoclinic.org/discussion/covid-vaccine-re-prioritization-in-california-type-2-diabetes/
16,"['Gonorrhea', 'Geroderma osteodysplastica', 'Temporohyoid osteoarthropathy', ""Little's Disease"", 'Common Cold', 'Lung Problem', 'Lung Diseases, Obstructive', 'Pulmonary congestion', 'Simian Acquired Immunodeficiency Syndrome', 'Coronavirus Infections', 'Acute gastroenteritis', 'Chest Pain', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://connect.mayoclinic.org/discussion/83-yr-old-mom-all-alone/
17,"['Gonorrhea', 'Geroderma osteodysplastica', 'Autoimmune Diseases', 'Mesenteric Panniculitis', 'nan']",https://connect.mayoclinic.org/discussion/mesenteric-panniculitis-and-the-covid-vaccine/
18,"['Gonorrhea', 'Geroderma osteodysplastica', 'Multi-infarct dementia', ""Little's Disease"", 'MOHR-TRANEBJAERG SYNDROME', 'Cancer-Associated Retinopathy', 'Hyperostosis, Diffuse Idiopathic Skeletal', 'Simian Acquired Immunodeficiency Syndrome', 'Gray Platelet Syndrome', 'Seizures', 'Muscle Rigidity', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://connect.mayoclinic.org/discussion/new-information-on-masks/
19,"['Epilepsy', 'Infantile Neuroaxonal Dystrophy', 'Coronavirus Infections', 'Gray Platelet Syndrome', 'Seizures', 'nan', 'nan', 'nan', 'Epilepsy', 'Infantile Neuroaxonal Dystrophy', 'Coronavirus Infections', 'Gray Platelet Syndrome', 'Seizures', 'nan', 'nan', 'nan']",https://connect.mayoclinic.org/discussion/covid-19-vaccination/
20,"['Gonorrhea', 'Geroderma osteodysplastica', 'Pallister-Hall syndrome', 'Infantile Neuroaxonal Dystrophy', 'Myocardial Infarction', 'Transient Ischemic Attack', 'Wiskott-Aldrich Syndrome', 'Coronavirus Infections', 'nan', 'nan', 'nan', 'Gonorrhea', 'Geroderma osteodysplastica', 'Pallister-Hall syndrome', 'Infantile Neuroaxonal Dystrophy', 'Myocardial Infarction', 'Transient Ischemic Attack', 'Wiskott-Aldrich Syndrome', 'Coronavirus Infections', 'nan', 'nan', 'nan']",https://connect.mayoclinic.org/discussion/how-long-will-i-continue-to-test-positive/
21,"['Dysosteosclerosis', 'nan', 'nan', 'nan', 'Dysosteosclerosis', 'nan', 'nan', 'nan']",https://connect.mayoclinic.org/discussion/covid19-id-cards/
22,"['Pelvic Organ Prolapse', 'Agenesis of corpus callosum', 'Heparin-induced thrombocytopenia', 'Common Cold', 'Wolf-Hirschhorn Syndrome', 'Acute gastroenteritis', 'Pneumocystis jiroveci pneumonia', 'Gonorrhea', 'Geroderma osteodysplastica', 'Infantile Neuroaxonal Dystrophy', 'WILSON-TURNER X-LINKED MENTAL RETARDATION SYNDROME', 'Sexually Transmitted Diseases', ""Little's Disease"", 'Athabaskan brainstem dysgenesis', 'Lung Diseases, Obstructive', 'Simian Acquired Immunodeficiency Syndrome', 'Gray Platelet Syndrome', 'slight fever', 'Signs and Symptoms', 'Pain, Postoperative', 'side pain', 'Feeling Sick', 'Asthenia', 'Back Pain', 'Stiffness', 'Pain', 'Clouded consciousness', 'Chills', 'Sore to touch', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'Pelvic Organ Prolapse', 'Agenesis of corpus callosum', 'Heparin-induced thrombocytopenia', 'Common Cold', 'Wolf-Hirschhorn Syndrome', 'Acute gastroenteritis', 'Pneumocystis jiroveci pneumonia', 'Gonorrhea', 'Geroderma osteodysplastica', 'Infantile Neuroaxonal Dystrophy', 'WILSON-TURNER X-LINKED MENTAL RETARDATION SYNDROME', 'Sexually Transmitted Diseases', ""Little's Disease"", 'Athabaskan brainstem dysgenesis', 'Lung Diseases, Obstructive', 'Simian Acquired Immunodeficiency Syndrome', 'Gray Platelet Syndrome', 'slight fever', 'Signs and Symptoms', 'Pain, Postoperative', 'side pain', 'Feeling Sick', 'Asthenia', 'Back Pain', 'Stiffness', 'Pain', 'Clouded consciousness', 'Chills', 'Sore to touch', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://connect.mayoclinic.org/discussion/lock-down-from-covid-and-depression/
23,"['Communicable Diseases', 'Exanthema', 'Influenza', 'SHORT STATURE, IDIOPATHIC, X-LINKED', 'Liver Abscess, Amebic', 'Herpes zoster disease', 'Pneumocystis jiroveci pneumonia', 'Gonorrhea', 'Geroderma osteodysplastica', 'Pallister-Hall syndrome', 'Infantile Neuroaxonal Dystrophy', 'Sexually Transmitted Diseases', 'Punctate inner choroidopathy', 'Dysosteosclerosis', 'Anemia, Diamond-Blackfan', 'Lung Diseases, Obstructive', 'SHORT STATURE, ONYCHODYSPLASIA, FACIAL DYSMORPHISM, AND HYPOTRICHOSIS SYNDROME', 'Simian Acquired Immunodeficiency Syndrome', 'Wiskott-Aldrich Syndrome', 'Gray Platelet Syndrome', 'Disease', 'Seizures', 'prickly feeling', 'Suffocated', 'Right Flank Pain', 'Malaise', 'Flare', 'Catch - Finding of sensory dimension of pain', 'Circling gait', 'Pain', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'Communicable Diseases', 'Exanthema', 'Influenza', 'SHORT STATURE, IDIOPATHIC, X-LINKED', 'Liver Abscess, Amebic', 'Herpes zoster disease', 'Pneumocystis jiroveci pneumonia', 'Gonorrhea', 'Geroderma osteodysplastica', 'Pallister-Hall syndrome', 'Infantile Neuroaxonal Dystrophy', 'Sexually Transmitted Diseases', 'Punctate inner choroidopathy', 'Dysosteosclerosis', 'Anemia, Diamond-Blackfan', 'Lung Diseases, Obstructive', 'SHORT STATURE, ONYCHODYSPLASIA, FACIAL DYSMORPHISM, AND HYPOTRICHOSIS SYNDROME', 'Simian Acquired Immunodeficiency Syndrome', 'Wiskott-Aldrich Syndrome', 'Gray Platelet Syndrome', 'Disease', 'Seizures', 'prickly feeling', 'Suffocated', 'Right Flank Pain', 'Malaise', 'Flare', 'Catch - Finding of sensory dimension of pain', 'Circling gait', 'Pain', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://connect.mayoclinic.org/discussion/double-up-your-masks/
24,"['Epilepsy', 'Infantile Neuroaxonal Dystrophy', 'Coronavirus Infections', 'Gray Platelet Syndrome', 'Seizures', 'nan', 'nan', 'nan', 'Epilepsy', 'Infantile Neuroaxonal Dystrophy', 'Coronavirus Infections', 'Gray Platelet Syndrome', 'Seizures', 'nan', 'nan', 'nan']",https://connect.mayoclinic.org/discussion/covid-19-vaccination/
25,"['Gonorrhea', 'Geroderma osteodysplastica', 'Pallister-Hall syndrome', 'Infantile Neuroaxonal Dystrophy', 'Myocardial Infarction', 'Transient Ischemic Attack', 'Wiskott-Aldrich Syndrome', 'Coronavirus Infections', 'nan', 'nan', 'nan', 'Gonorrhea', 'Geroderma osteodysplastica', 'Pallister-Hall syndrome', 'Infantile Neuroaxonal Dystrophy', 'Myocardial Infarction', 'Transient Ischemic Attack', 'Wiskott-Aldrich Syndrome', 'Coronavirus Infections', 'nan', 'nan', 'nan']",https://connect.mayoclinic.org/discussion/how-long-will-i-continue-to-test-positive/
26,"['Dysosteosclerosis', 'nan', 'nan', 'nan', 'Dysosteosclerosis', 'nan', 'nan', 'nan']",https://connect.mayoclinic.org/discussion/covid19-id-cards/
27,"['Pelvic Organ Prolapse', 'Agenesis of corpus callosum', 'Heparin-induced thrombocytopenia', 'Common Cold', 'Wolf-Hirschhorn Syndrome', 'Acute gastroenteritis', 'Pneumocystis jiroveci pneumonia', 'Gonorrhea', 'Geroderma osteodysplastica', 'Infantile Neuroaxonal Dystrophy', 'WILSON-TURNER X-LINKED MENTAL RETARDATION SYNDROME', 'Sexually Transmitted Diseases', ""Little's Disease"", 'Athabaskan brainstem dysgenesis', 'Lung Diseases, Obstructive', 'Simian Acquired Immunodeficiency Syndrome', 'Gray Platelet Syndrome', 'slight fever', 'Signs and Symptoms', 'Pain, Postoperative', 'side pain', 'Feeling Sick', 'Asthenia', 'Back Pain', 'Stiffness', 'Pain', 'Clouded consciousness', 'Chills', 'Sore to touch', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'Pelvic Organ Prolapse', 'Agenesis of corpus callosum', 'Heparin-induced thrombocytopenia', 'Common Cold', 'Wolf-Hirschhorn Syndrome', 'Acute gastroenteritis', 'Pneumocystis jiroveci pneumonia', 'Gonorrhea', 'Geroderma osteodysplastica', 'Infantile Neuroaxonal Dystrophy', 'WILSON-TURNER X-LINKED MENTAL RETARDATION SYNDROME', 'Sexually Transmitted Diseases', ""Little's Disease"", 'Athabaskan brainstem dysgenesis', 'Lung Diseases, Obstructive', 'Simian Acquired Immunodeficiency Syndrome', 'Gray Platelet Syndrome', 'slight fever', 'Signs and Symptoms', 'Pain, Postoperative', 'side pain', 'Feeling Sick', 'Asthenia', 'Back Pain', 'Stiffness', 'Pain', 'Clouded consciousness', 'Chills', 'Sore to touch', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://connect.mayoclinic.org/discussion/lock-down-from-covid-and-depression/
28,"['Communicable Diseases', 'Exanthema', 'Influenza', 'SHORT STATURE, IDIOPATHIC, X-LINKED', 'Liver Abscess, Amebic', 'Herpes zoster disease', 'Pneumocystis jiroveci pneumonia', 'Gonorrhea', 'Geroderma osteodysplastica', 'Pallister-Hall syndrome', 'Infantile Neuroaxonal Dystrophy', 'Sexually Transmitted Diseases', 'Punctate inner choroidopathy', 'Dysosteosclerosis', 'Anemia, Diamond-Blackfan', 'Lung Diseases, Obstructive', 'SHORT STATURE, ONYCHODYSPLASIA, FACIAL DYSMORPHISM, AND HYPOTRICHOSIS SYNDROME', 'Simian Acquired Immunodeficiency Syndrome', 'Wiskott-Aldrich Syndrome', 'Gray Platelet Syndrome', 'Disease', 'Seizures', 'prickly feeling', 'Suffocated', 'Right Flank Pain', 'Malaise', 'Flare', 'Catch - Finding of sensory dimension of pain', 'Circling gait', 'Pain', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'Communicable Diseases', 'Exanthema', 'Influenza', 'SHORT STATURE, IDIOPATHIC, X-LINKED', 'Liver Abscess, Amebic', 'Herpes zoster disease', 'Pneumocystis jiroveci pneumonia', 'Gonorrhea', 'Geroderma osteodysplastica', 'Pallister-Hall syndrome', 'Infantile Neuroaxonal Dystrophy', 'Sexually Transmitted Diseases', 'Punctate inner choroidopathy', 'Dysosteosclerosis', 'Anemia, Diamond-Blackfan', 'Lung Diseases, Obstructive', 'SHORT STATURE, ONYCHODYSPLASIA, FACIAL DYSMORPHISM, AND HYPOTRICHOSIS SYNDROME', 'Simian Acquired Immunodeficiency Syndrome', 'Wiskott-Aldrich Syndrome', 'Gray Platelet Syndrome', 'Disease', 'Seizures', 'prickly feeling', 'Suffocated', 'Right Flank Pain', 'Malaise', 'Flare', 'Catch - Finding of sensory dimension of pain', 'Circling gait', 'Pain', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://connect.mayoclinic.org/discussion/double-up-your-masks/
29,"['Somnambulism', 'Digestive System Disorders', 'Pulmonary Stenosis', 'Agenesis of corpus callosum', 'Heparin-induced thrombocytopenia', 'Common Cold', 'Psoriasis', 'Influenza', 'Wolf-Hirschhorn Syndrome', 'Cancer-Associated Retinopathy', 'PREMATURE CHROMATID SEPARATION TRAIT', 'Acute gastroenteritis', 'Myocardial Ischemia', 'Coronavirus Infections', 'Gonorrhea', 'Geroderma osteodysplastica', 'furuncle', 'Punctate inner choroidopathy', 'Goldberg-Shprintzen megacolon syndrome', ""Little's Disease"", 'Lung Diseases, Obstructive', 'Simian Acquired Immunodeficiency Syndrome', 'Gray Platelet Syndrome', 'Disease', 'Seizures', 'Signs and Symptoms', 'Blackout - symptom', 'Abdominal bloating', 'Flushing', 'Sympathetically independent pain', 'Nervousness', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://connect.mayoclinic.org/discussion/humor-during-the-coronavirus-crisis/
30,"['Congenital Thrombotic Thrombocytopenic Purpura', 'Pallister-Hall syndrome', 'Infantile Neuroaxonal Dystrophy', 'Poliomyelitis', 'Dysosteosclerosis', 'Chronic otitis media', 'Lung Diseases, Obstructive', 'Symmetrical dyschromatosis of extremities', 'Coronavirus Infections', 'Acute gastroenteritis', 'Gray Platelet Syndrome', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://connect.mayoclinic.org/discussion/how-you-can-get-information-about-covid-19-vaccine-in-your-locality/
31,"['Dysosteosclerosis', 'Simian Acquired Immunodeficiency Syndrome', 'nan']",https://connect.mayoclinic.org/discussion/no-covid-vaccines-in-mayo-waiting-for-supplies/
32,"['Gonorrhea', 'Geroderma osteodysplastica', 'Communicable Diseases', 'Severe Acute Respiratory Syndrome', 'Total Hypotrichosis, Mari type', 'Dysosteosclerosis', 'Influenza', 'Chronic otitis media', 'Coronavirus Infections', 'Gray Platelet Syndrome', 'Tired', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://connect.mayoclinic.org/discussion/interactions-between-sars-cov-2-variants/
33,"['Gonorrhea', 'Geroderma osteodysplastica', 'Dysosteosclerosis', 'SHORT STATURE, IDIOPATHIC, X-LINKED', 'Influenza', 'Chronic Obstructive Airway Disease', 'Reflex Epilepsy, Photosensitive', 'Bronchitis, Chronic', 'Pneumocystis jiroveci pneumonia', 'Severe chronic obstructive pulmonary disease', 'Disease', 'Fever with chills', 'Fatigue', 'Headache', 'Sore to touch', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://connect.mayoclinic.org/discussion/copd-and-the-covid-19-vaccine/
34,"['varicella zoster', 'Myasthenia Gravis', 'Disorder of head', 'Osteoporosis with pseudoglioma', 'Simian Acquired Immunodeficiency Syndrome', 'Wiskott-Aldrich Syndrome', 'Coronavirus Infections', 'Pneumocystis jiroveci pneumonia', 'Gray Platelet Syndrome', 'Disease', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://connect.mayoclinic.org/discussion/can-thymectomized-patients-receive-vaccinations-specifically-covid19/
35,"[""Little's Disease"", 'Crohn Disease', 'Lung Diseases, Obstructive', 'Wiskott-Aldrich Syndrome', 'Acute gastroenteritis', 'Disease', 'Diarrhea', 'BODY PAIN', 'Nausea', 'Retching', 'Chills', 'Sore to touch', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://connect.mayoclinic.org/discussion/cohns-and-covid-19-shots-is-it-safe/
