PostNumber,SymptomName,PostLink,Drugs,Treatment,BodyParts
11,"['Myopathy', 'Coronavirus Infections', 'Muscle Weakness', 'nan', 'nan']",https://patient.info//forums/discuss/cholesterol-on-covid-19-756645,"[nan, nan, nan, nan, nan]","[nan, nan, nan, 'DRUGS', 'Therapeutic procedure']","[nan, nan, nan, nan, nan]"
12,"['nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/i-wonder-whether-i-am-considered-vaccine-compromised-biontec-moderna--756545,"[nan, nan, nan, nan, nan]","['heart - aortic valve', 'on anti-coagulants', nan, nan, nan]","[nan, nan, 'Heart', 'Structure of anulus fibrosus of aorta', 'Aorta']"
13,"['Communicable Diseases', 'Fatigue', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/oxygen-requirement-has-gone-up-750438,"[nan, nan, nan, nan, nan, nan, 'Oxygen 93 %', 'Oxygen 20 %', 'Oxygen 2 %']","[nan, nan, 'Administration of antibiotic', 'Continuous Positive Airway Pressure', 'Detection', 'Therapeutic procedure', nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan]"
14,"['Ache', 'Feeling Sick', 'Coughing', 'nan']",https://patient.info//forums/discuss/loss-of-smell-and-taste-5-days-after-nasal-congestion-and-a-very-bad-throat--756254,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, 'Entire throat (surface region of neck)']"
15,"['Disease', 'Seizures', 'Dizziness']",https://patient.info//forums/discuss/permanent-dizzyness-756364,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]"
16,"['Ageusia', 'Coughing', 'Nose symptoms', 'nan']",https://patient.info//forums/discuss/loss-of-taste-and-smell-due-to-covid-19-756317,"[nan, nan, nan, nan]","[nan, nan, nan, 'Isolation procedure']","[nan, nan, nan, nan]"
17,"['Chronic Fatigue Syndrome', 'Allergic disposition', 'Sjogren-Larsson Syndrome', 'Influenza', 'Burning Mouth Syndrome', 'Asthma', 'Urticaria', 'Anaphylaxis (non medication)', 'Pruritus', 'Burning mouth (sensation)', 'Lip swelling', 'Dyspnea', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/is-covid-vaccine-safe-for-allergy-sufferers--755730,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Obstetric Delivery', 'Incision and drainage', 'Special Diet Therapy', nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Entire throat (surface region of neck)', 'Tongue', 'Entire face']"
18,"['Renal carnitine transport defect', 'Common Cold', 'Cyclic neutropenia', 'Seizures', 'side pain', 'Malaise', 'Fatigue', 'Headache', 'Blood in stool', 'Rhinorrhea', 'Ageusia', 'Constipation', 'Nausea', 'Hunger', 'Abdominal bloating', 'Congestion of throat', 'Weakness', 'Coughing', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/covid-positive-with-digestive-system-problems-750183,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Electroconvulsive Therapy', nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Bone structure of rib', 'Urinary Bladder', 'Anatomic Node', 'ribs on right side', 'Intestines', 'Veins']"
19,"['Encephalitis', 'Rhinorrhea', 'Headache', 'Coughing']",https://patient.info//forums/discuss/intense-headaches-during-covid-recovery-756195,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
20,"['Pharyngitis', 'Common Cold', 'Conjunctivitis', 'Acute contagious conjunctivitis', 'Coronavirus Infections', 'Chest Pain', 'BODY ACHE', 'Fatigue', 'Headache', 'Pain', 'Exhaustion', 'Rhinorrhea', 'Arthralgia', 'Nasal congestion (finding)', 'Watery eyes', 'Chest tightness', 'Nausea', 'Sore Throat', 'Weakness', 'Dry cough', 'Coughing', 'Cold sweat', 'Night sweats', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/how-did-your-symptoms-start--753618,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Interventional procedure', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Isolation procedure', nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Entire throat (surface region of neck)']"
21,"['Breathing abnormally deep', 'Dyspnea']",https://patient.info//forums/discuss/how-does-shortness-of-breath-actually-feel-like--756005,"[nan, nan]","[nan, nan]","[nan, nan]"
22,"['Arthritis', 'Fatigue', 'Myalgia', 'nan']",https://patient.info//forums/discuss/swollen-cracked-tongue-755990,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, 'Set of muscles']"
23,"['Coronavirus Infections', 'Chest Pain', 'Coughing', 'Pain', 'Mastodynia']",https://patient.info//forums/discuss/hurts-to-breathe-in-755785,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]"
24,"['Communicable Diseases', 'Headache', 'Coughing', 'nan']",https://patient.info//forums/discuss/high-fibrinogen-and-ferritin-levels-with-covid-755814,"[nan, nan, nan, nan]","[nan, nan, nan, 'blood medications']","[nan, nan, nan, nan]"
25,"['Nervousness', 'Clouded consciousness', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/vaccination-centres-unsafe--755424,"[nan, nan, nan, nan, nan, nan]","[nan, nan, 'Vaccination', 'Discussion (procedure)', nan, nan]","[nan, nan, nan, nan, 'Entire nerve', 'Quarter of the Udder']"
26,"['Influenza', 'IMMUNODEFICIENCY, COMMON VARIABLE, 10', 'Ache', 'Signs and Symptoms', 'Abdominal Pain', 'Feeling Sick', 'Upset stomach', 'Fatigue', 'Pain', 'Muscle Cramp', 'Mastodynia', 'Exhaustion', 'Feeling of loss of feeling', 'Ageusia', 'Stomach ache', 'Illness (finding)', 'Constipation', 'Chest tightness', 'Nausea', 'Dizziness', 'Has tingling sensation', 'Coughing', 'Stomach cramps (finding)', 'Fatigue - symptom', 'Sore to touch', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/lingering-symptoms-after-3-weeks-stomach-pains-nausea-753889,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Entire head', 'Entire stomach', 'Toes', 'Bile duct structure', 'Brain', 'Stomach', 'Intestines']"
27,"['flu symptoms', 'Tension Headache', 'Common Cold', 'Staring', 'cold symptoms', 'Influenza', 'Dysosmia', 'Anosmia', 'Feeling Sick', 'taste sour', 'Headache', 'Syncope', 'Dyspnea', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/post-covid-odd-smells-and-tastes-753797,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Aromatherapy', 'Shampooing (action)', nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Nose']"
28,"['Communicable Diseases', 'Pharyngitis', 'Nasal congestion (finding)', 'Sore Throat', 'Headache', 'Coughing', 'Breathing abnormally deep', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/elevated-heart-rate-with-possible-covid-dangerous--755416,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, 'Heart', 'Eye', 'bony process', 'Body organ structure']"
29,"['Communicable Diseases', 'Infection of kidney', 'Ache', 'Dizziness', 'Headache', 'Syncope', 'Back Pain', 'Pain', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/kidney-infection-755255,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, 'Bone structure of rib', 'Heart', 'Supernumerary mandibular right central primary incisor']"
30,"['Communicable Diseases', 'BODY ACHE', 'Exanthema', 'Dizziness', 'Coughing', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/mom-positive-with-covid-brain-fog-memory-issues-750695,"[nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, 'Physical therapy exercises', nan, nan]","[nan, nan, nan, nan, nan, nan, 'Brain', 'Foot']"
31,"['BODY ACHE', 'out (of) breath', 'Dizziness', 'Weakness', 'Headache', 'nan']",https://patient.info//forums/discuss/dizziness-and-body-aches-help--754367,"[nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, 'Cardiac Lead Procedure']","[nan, nan, nan, nan, nan, nan]"
32,"['Urticaria', 'BODY ACHE', 'Sore Throat', 'Dizziness', 'Mastodynia', 'nan', 'nan']",https://patient.info//forums/discuss/10-months-after-having-covid-and-still-ill-752301,"[nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, 'Heart', 'Airway structure']"
33,"['Pharyngitis', 'Asthenopia', 'Sore eye', 'Tired', 'Pain', 'Tremor', 'Chest pressure', 'Arthralgia', 'Anosmia', 'Sore Throat', 'Pruritus', 'Throbbing Headache', 'Coughing', 'Dyspnea', 'Sore to touch', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/tested-negative-but-post-test-symptoms-got-worse-755304,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Exercise Pain Management', nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Lower back structure', 'Entire head', 'Eye', 'Pharyngeal structure']"
34,"['Coronavirus Infections', 'Lower respiratory tract infection', 'Rhinorrhea', 'Ache', 'Burning sensation in eye', 'Watery eyes', 'Fatigue', 'Pruritus', 'Burning sensation', 'Catch - Finding of sensory dimension of pain', 'Headache', 'Coughing', 'Sore to touch', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/just-tested-positive-754268,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Self Monitoring', nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Eye', 'Lanugo', 'Entire face', 'Nose', 'Entire neck']"
35,"['Hypertensive disease', 'Diabetes Mellitus', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/i-have-mental-disorder-after-covid-19-for-first-time-is-anyone-had-the-same-and-how-can-l-help-myself--755053,"[nan, nan, nan, nan, nan]","[nan, nan, 'Therapeutic procedure', nan, nan]","[nan, nan, nan, 'Entire head', 'Brain']"
36,"['Constipation', 'Feeling Sick', 'Nausea']",https://patient.info//forums/discuss/feeling-sick-and-shakes-after-eating-755216,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]"
37,"['Anorexia', 'Ataxia Telangiectasia', 'Gastroesophageal reflux disease', 'Fish-Eye Disease', 'Pharyngitis', 'Pneumonia', 'Xerostomia', 'Lower respiratory tract infection', 'Heartburn', 'Diarrhea', 'Chest Pain', 'Tired', 'Abdominal Pain', 'Severe diarrhea', 'Burning sensation', 'Pain', 'Stomach ache', 'Nausea', 'Abdominal bloating', 'Sore Throat', 'Eructation', 'Sore to touch', 'Dyspnea', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/anyone-get-terrible-acid-reflux-after-having-covid--750660,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Transection (procedure)', 'Severing', 'Liquid diet', 'Incision and drainage', 'Isolation procedure', nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Entire stomach', 'Supernumerary mandibular right central primary incisor', 'Entire throat (surface region of neck)', 'Stomach', 'Esophagus', 'Sphincter', 'anatomic valve', 'Entire neck']"
38,"['Gastroesophageal reflux disease', 'Common Cold', 'Tired', 'Fatigue', 'Myalgia', 'Pain', 'feeling dizzy', 'Mastodynia', 'Nausea', 'Vertigo', 'feeling like vomiting', 'Dizziness', 'Hot flushes', 'Depressed - symptom', 'Night sweats', 'Chills', 'Dyspnea', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/finally-negative-symptoms-still-lingering--753713,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Group reassurance', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Entire head', 'Mandibular right first molar', 'Entire neck', 'Foot']"
39,"['Parkinsonian Disorders', 'Parkinson Disease', 'nan', 'nan']",https://patient.info//forums/discuss/parkinsonism-and-covid-19-754778,"[nan, nan, nan, nan]","[nan, nan, 'Reminding', nan]","[nan, nan, nan, 'Entire head']"
40,"['Migraine Disorders', 'Sinusitis', 'Prediabetes syndrome', 'Communicable Diseases', 'Gastroesophageal reflux disease', 'Pharyngitis', 'Fish-Eye Disease', 'Pneumonia', 'Conjunctivitis', 'Tonsillitis', 'Coronavirus Infections', 'Vitamin Deficiency', 'Autoimmune Diseases', 'Recurrent disease', 'Malnutrition', 'Disease', 'Seizures', 'Diarrhea', 'Exanthema', 'Fatigue', 'Burning sensation', 'Pain', 'Breathing abnormally deep', 'spells (neurological symptom)', 'Anosmia', 'Neck Pain', 'Nausea', 'Influenza-like symptoms', 'lump in throat', 'Earache', 'Arm Pain', 'Clouded consciousness', 'Chest Pain', 'out (of) breath', 'headache severe', 'Upset stomach', 'Back Pain', 'Tremor', 'Prickling sensation', 'Nasal congestion (finding)', 'Sore Throat', 'chest heaviness', 'skin color change', 'digestive problem', 'Signs and Symptoms', 'Glossalgia', 'Headache', 'Stinging Sensation', 'Skin symptom', 'Nose symptoms', 'Chest pressure', 'Exhaustion', 'Arthralgia', 'swollen glands in neck', 'Stomach ache', 'Has tingling sensation', 'Coughing', 'Pharyngeal dryness', 'Upper back pain', 'Ache', 'BODY ACHE', 'Myalgia', 'Rhinorrhea', 'Difficulty sleeping', 'Chest tightness', 'Dizziness', 'Weakness', 'Depressed - symptom', 'Frontal headache', 'Dyspnea', 'Sore to touch', 'Chills', 'Hoarseness', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/covid-9-symptoms-for-9-weeks-737081,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Transjugular intrahepatic portosystemic shunt procedure', 'Drainage procedure', 'Meditation Therapy', 'Yoga', 'Incision and drainage', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Exercise Pain Management', 'Spatial guidance for medical procedure', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Trachea', 'Toes', 'Heart', 'Mandibular right first molar', 'Hand', 'Entire throat (surface region of neck)', 'Eye', 'Stomach', 'Upper body structure', 'Brain', 'Intestines', 'Leg Bones', 'Skeletal bone', 'Nose', 'Entire neck', 'Entire upper arm', 'Esophagus', 'Forearm']"
