Source,Destination,Weight
Carpal Tunnel Syndrome,Seizures,7
Carpal Tunnel Syndrome,Chronic Obstructive Airway Disease,7
Carpal Tunnel Syndrome,Smallpox,1
Carpal Tunnel Syndrome,Wolf-Hirschhorn Syndrome,5
Carpal Tunnel Syndrome,Headache,1
Carpal Tunnel Syndrome,Pallister-Hall syndrome,1
Carpal Tunnel Syndrome,Periodic Alternating Nystagmus,1
Carpal Tunnel Syndrome,Influenza due to Influenza A virus subtype H1N1,1
Carpal Tunnel Syndrome,Polyarteritis Nodosa,1
Carpal Tunnel Syndrome,Tropical Disease,1
Carpal Tunnel Syndrome,Curb,2
Carpal Tunnel Syndrome,Signs and Symptoms,12
Carpal Tunnel Syndrome,BODY PAIN,1
Carpal Tunnel Syndrome,Severe Acute Respiratory Syndrome,1
Carpal Tunnel Syndrome,"Tachycardia, Ectopic Junctional",1
Carpal Tunnel Syndrome,Multi-infarct dementia,3
Carpal Tunnel Syndrome,Subacute thyroiditis,1
Carpal Tunnel Syndrome,Chronic articular rheumatism,3
Carpal Tunnel Syndrome,Gerstmann-Straussler-Scheinker Disease,1
Carpal Tunnel Syndrome,Pyotraumatic dermatitis,2
Carpal Tunnel Syndrome,Oculocerebrocutaneous syndrome,4
Carpal Tunnel Syndrome,Osteochondritis Dissecans,1
Carpal Tunnel Syndrome,Diabetic Autonomic Neuropathy,1
Carpal Tunnel Syndrome,Mass of body region,3
Carpal Tunnel Syndrome,Flare,3
Carpal Tunnel Syndrome,Catch - Finding of sensory dimension of pain,5
Carpal Tunnel Syndrome,Multiple symptoms,1
Carpal Tunnel Syndrome,Poliomyelitis,3
Carpal Tunnel Syndrome,"Liver Abscess, Amebic",5
Carpal Tunnel Syndrome,Measles,2
Carpal Tunnel Syndrome,Erectile dysfunction,1
Carpal Tunnel Syndrome,Dysosteosclerosis,4
Carpal Tunnel Syndrome,"Communicable Diseases, Emerging",1
Carpal Tunnel Syndrome,Strangles,1
Carpal Tunnel Syndrome,Clouded consciousness,7
Carpal Tunnel Syndrome,Pulmonary Emphysema,2
Carpal Tunnel Syndrome,Alpha trait thalassemia,2
Carpal Tunnel Syndrome,Chronic disease,2
Carpal Tunnel Syndrome,Chills,1
Carpal Tunnel Syndrome,Papillon-Lefevre Disease,2
Carpal Tunnel Syndrome,Pneumonia,1
Carpal Tunnel Syndrome,Asthma,4
Carpal Tunnel Syndrome,Obesity,2
Carpal Tunnel Syndrome,Hypertensive disease,1
Carpal Tunnel Syndrome,Diabetes Mellitus,2
Carpal Tunnel Syndrome,Lung diseases,2
Carpal Tunnel Syndrome,Kidney Diseases,1
Carpal Tunnel Syndrome,Nervousness,4
Carpal Tunnel Syndrome,Overweight,1
Carpal Tunnel Syndrome,Infantile Neuroaxonal Dystrophy,11
Carpal Tunnel Syndrome,Lupus Erythematosus,2
Carpal Tunnel Syndrome,Malaria,1
Carpal Tunnel Syndrome,Flatulence,2
Carpal Tunnel Syndrome,Malaise,1
Carpal Tunnel Syndrome,Tremor,2
Carpal Tunnel Syndrome,Illness (finding),1
Carpal Tunnel Syndrome,Nightmares,1
Carpal Tunnel Syndrome,Upset stomach,2
Carpal Tunnel Syndrome,Exhaustion,2
Carpal Tunnel Syndrome,Cardiac Arrest,1
Carpal Tunnel Syndrome,HEART PROBLEM,1
Carpal Tunnel Syndrome,Tired,3
Carpal Tunnel Syndrome,Pulmonary congestion,1
Carpal Tunnel Syndrome,Hepatic Encephalopathy,1
Carpal Tunnel Syndrome,Toxic liver disease,1
Carpal Tunnel Syndrome,Acute infectious disease,3
Carpal Tunnel Syndrome,Retinal damage,1
Carpal Tunnel Syndrome,Multiple Epiphyseal Dysplasia,3
Carpal Tunnel Syndrome,Rosacea,1
Carpal Tunnel Syndrome,Prieto X-linked mental retardation syndrome,1
Carpal Tunnel Syndrome,Muscular stiffness,6
Carpal Tunnel Syndrome,Sighing respiration,3
Carpal Tunnel Syndrome,Mandibuloacral dysostosis,1
Carpal Tunnel Syndrome,Fish-Eye Disease,1
Carpal Tunnel Syndrome,Algoneurodystrophy,1
Carpal Tunnel Syndrome,Adult Fanconi syndrome,2
Carpal Tunnel Syndrome,"Diabetes Mellitus, Non-Insulin-Dependent",1
Carpal Tunnel Syndrome,Hereditary Diseases,1
Carpal Tunnel Syndrome,WILSON-TURNER X-LINKED MENTAL RETARDATION SYNDROME,3
Carpal Tunnel Syndrome,EXERTIONAL,1
Carpal Tunnel Syndrome,"POPLITEAL PTERYGIUM SYNDROME, LETHAL TYPE",3
Carpal Tunnel Syndrome,"Amyotrophic Lateral Sclerosis, Sporadic",1
Carpal Tunnel Syndrome,Hamman-Rich syndrome,1
Carpal Tunnel Syndrome,Lung Problem,1
Carpal Tunnel Syndrome,Ache,1
Carpal Tunnel Syndrome,Malignant hyperpyrexia due to anesthesia,4
Carpal Tunnel Syndrome,"Skin Diseases, Viral",1
Carpal Tunnel Syndrome,Gigantism,1
Carpal Tunnel Syndrome,Myocardial Ischemia,8
Carpal Tunnel Syndrome,Pelvic Organ Prolapse,1
Carpal Tunnel Syndrome,MRSA - Methicillin resistant Staphylococcus aureus infection,1
Carpal Tunnel Syndrome,STUVE-WIEDEMANN SYNDROME,3
Carpal Tunnel Syndrome,"Pain, Postoperative",1
Carpal Tunnel Syndrome,Juvenile-Onset Still Disease,1
Carpal Tunnel Syndrome,"Lupus Erythematosus, Discoid",1
Carpal Tunnel Syndrome,Van der Woude syndrome,2
Carpal Tunnel Syndrome,"Anemia, Diamond-Blackfan",1
Carpal Tunnel Syndrome,"AUTOINFLAMMATION, LIPODYSTROPHY, AND DERMATOSIS SYNDROME",1
Carpal Tunnel Syndrome,Infarction of spinal cord,1
Carpal Tunnel Syndrome,Plague,1
Carpal Tunnel Syndrome,Agenesis of corpus callosum,5
Carpal Tunnel Syndrome,Axenfeld-Rieger syndrome,2
Carpal Tunnel Syndrome,Heart failure,1
Carpal Tunnel Syndrome,Respiratory distress,1
Carpal Tunnel Syndrome,Breathing abnormally deep,1
Carpal Tunnel Syndrome,Dehydration,2
Carpal Tunnel Syndrome,Syncope,1
Carpal Tunnel Syndrome,Recurrent disease,1
Carpal Tunnel Syndrome,Deep Vein Thrombosis,1
Carpal Tunnel Syndrome,Fibromyalgia,1
Carpal Tunnel Syndrome,spells (neurological symptom),1
Carpal Tunnel Syndrome,Autoimmune Diseases,1
Carpal Tunnel Syndrome,Hepatorenal Syndrome,1
Carpal Tunnel Syndrome,Hypotrichosis simplex,1
Carpal Tunnel Syndrome,Dandy-Walker Syndrome,1
Carpal Tunnel Syndrome,Punctate inner choroidopathy,6
Carpal Tunnel Syndrome,Slow respiration,1
Carpal Tunnel Syndrome,Nail-Patella Syndrome,1
Carpal Tunnel Syndrome,Sympathetically independent pain,1
Carpal Tunnel Syndrome,Coffin-Siris syndrome,1
Carpal Tunnel Syndrome,"Nephritis, Interstitial",1
Carpal Tunnel Syndrome,Syndrome,1
Carpal Tunnel Syndrome,Tropical Spastic Paraparesis,6
Carpal Tunnel Syndrome,Sore skin,1
Carpal Tunnel Syndrome,Sleep Apnea Syndromes,1
Carpal Tunnel Syndrome,Critical Illness,4
Carpal Tunnel Syndrome,Simian Acquired Immunodeficiency Syndrome,9
Carpal Tunnel Syndrome,Wiskott-Aldrich Syndrome,6
Carpal Tunnel Syndrome,Autoimmune disease (systemic) NOS,5
Carpal Tunnel Syndrome,Preeclamptic toxemia,3
Carpal Tunnel Syndrome,Heparin-induced thrombocytopenia,1
Carpal Tunnel Syndrome,Herpes zoster disease,1
Carpal Tunnel Syndrome,Pneumocystis jiroveci pneumonia,3
Carpal Tunnel Syndrome,Painful Bladder Syndrome,3
Carpal Tunnel Syndrome,Chronic Kidney Diseases,1
Carpal Tunnel Syndrome,Agitation,1
Carpal Tunnel Syndrome,multiple pathologies,1
Carpal Tunnel Syndrome,Terminal illness,4
Carpal Tunnel Syndrome,Giant Cell Arteritis,1
Carpal Tunnel Syndrome,Hashimoto Disease,1
Carpal Tunnel Syndrome,Phlebitis,1
Carpal Tunnel Syndrome,Endometriosis,1
Carpal Tunnel Syndrome,"Lung Diseases, Interstitial",1
Carpal Tunnel Syndrome,Staphylococcal Infections,1
Carpal Tunnel Syndrome,Thyroid Diseases,1
Carpal Tunnel Syndrome,Degenerative polyarthritis,1
Carpal Tunnel Syndrome,Peripheral Neuropathy,1
Carpal Tunnel Syndrome,Autoimmune hemolytic anemia,1
Carpal Tunnel Syndrome,Bronchiectasis,3
Carpal Tunnel Syndrome,Kartagener Syndrome,1
Carpal Tunnel Syndrome,Feline urological syndrome,1
Carpal Tunnel Syndrome,Epilepsy,2
Carpal Tunnel Syndrome,Pulmonary Stenosis,1
Carpal Tunnel Syndrome,Psoriasis,2
Carpal Tunnel Syndrome,Cardiomyopathies,1
Carpal Tunnel Syndrome,Pertussis,1
Carpal Tunnel Syndrome,Borderline Hypertension,1
Carpal Tunnel Syndrome,Hereditary Coproporphyria,1
Carpal Tunnel Syndrome,Polymyalgia Rheumatica,1
Carpal Tunnel Syndrome,Neuroleptic Malignant Syndrome,1
Carpal Tunnel Syndrome,"Malaria, Cerebral",1
Carpal Tunnel Syndrome,Euthyroid Sick Syndromes,1
Carpal Tunnel Syndrome,Post-infectious encephalitis,1
Carpal Tunnel Syndrome,Chikungunya virus infection,1
Carpal Tunnel Syndrome,Common Migraine,1
Carpal Tunnel Syndrome,Dystonia Disorders,1
Carpal Tunnel Syndrome,Hereditary Multiple Exostoses,1
Carpal Tunnel Syndrome,"Failure of Tooth Eruption, Primary",2
Carpal Tunnel Syndrome,Dryness of eye,2
Carpal Tunnel Syndrome,Chronic lobular hepatitis,2
Carpal Tunnel Syndrome,Lesch-Nyhan Syndrome,2
Carpal Tunnel Syndrome,Vitelliform Macular Dystrophy,2
Carpal Tunnel Syndrome,Indifferent mood,2
Carpal Tunnel Syndrome,Pneumopericardium,1
Carpal Tunnel Syndrome,Pancreatic Pseudocyst,1
Carpal Tunnel Syndrome,Zunich neuroectodermal syndrome,1
Carpal Tunnel Syndrome,Nodular glomerulosclerosis,1
Carpal Tunnel Syndrome,Purpura pigmentosa chronica,1
Carpal Tunnel Syndrome,RAINE SYNDROME,1
Carpal Tunnel Syndrome,Liver diseases,1
Carpal Tunnel Syndrome,Chronically Ill,1
Carpal Tunnel Syndrome,HIV-infection (AIDS/ARC),1
Carpal Tunnel Syndrome,"Encephalomyelitis, Western Equine",1
Carpal Tunnel Syndrome,Feeling despair,1
Carpal Tunnel Syndrome,Thromboembolism,1
Carpal Tunnel Syndrome,Thrombophilia,1
Carpal Tunnel Syndrome,Hematological Disease,1
Carpal Tunnel Syndrome,Arthrogryposis renal dysfunction cholestasis syndrome,1
Carpal Tunnel Syndrome,Postural Orthostatic Tachycardia Syndrome,4
Carpal Tunnel Syndrome,Memory Loss,4
Carpal Tunnel Syndrome,Roberts-SC phocomelia syndrome,1
Carpal Tunnel Syndrome,Bronchiolitis Obliterans Organizing Pneumonia,1
Carpal Tunnel Syndrome,"Liver Failure, Acute",1
Carpal Tunnel Syndrome,"Brain Damage, Chronic",1
Cancer-Associated Retinopathy,Coronavirus Infections,7
Cancer-Associated Retinopathy,Acute gastroenteritis,11
Cancer-Associated Retinopathy,Congenital Thrombotic Thrombocytopenic Purpura,3
Cancer-Associated Retinopathy,Gonorrhea,27
Cancer-Associated Retinopathy,Geroderma osteodysplastica,27
Cancer-Associated Retinopathy,Sexually Transmitted Diseases,4
Cancer-Associated Retinopathy,Osteoporosis with pseudoglioma,1
Cancer-Associated Retinopathy,"Lung Diseases, Obstructive",17
Cancer-Associated Retinopathy,Gray Platelet Syndrome,18
Cancer-Associated Retinopathy,Disease,11
Cancer-Associated Retinopathy,Pain,8
Cancer-Associated Retinopathy,rundown,1
Cancer-Associated Retinopathy,Little's Disease,22
Cancer-Associated Retinopathy,Testicular regression syndrome,3
Cancer-Associated Retinopathy,Anosmia,1
Cancer-Associated Retinopathy,Communicable Diseases,6
Cancer-Associated Retinopathy,Chronic otitis media,3
Cancer-Associated Retinopathy,"SHORT STATURE, IDIOPATHIC, X-LINKED",1
Cancer-Associated Retinopathy,organic disorders,2
Cancer-Associated Retinopathy,AICARDI-GOUTIERES SYNDROME 1,1
Cancer-Associated Retinopathy,Fatigue,3
Cancer-Associated Retinopathy,Sore to touch,3
Cancer-Associated Retinopathy,Common Cold,11
Cancer-Associated Retinopathy,Influenza,6
Cancer-Associated Retinopathy,Rhinorrhea,1
Cancer-Associated Retinopathy,Coughing,8
Cancer-Associated Retinopathy,Asthenia,1
Cancer-Associated Retinopathy,Dyspnea,3
Cancer-Associated Retinopathy,Blind Vision,2
Cancer-Associated Retinopathy,"Hyperostosis, Diffuse Idiopathic Skeletal",3
Cancer-Associated Retinopathy,PREMATURE CHROMATID SEPARATION TRAIT,4
Cancer-Associated Retinopathy,Myocardial Infarction,1
Cancer-Associated Retinopathy,Actual Inability To Taste,1
Cancer-Associated Retinopathy,Adynamic bone disease,1
Cancer-Associated Retinopathy,gastrointestinal gas,4
Cancer-Associated Retinopathy,Seizures,7
Cancer-Associated Retinopathy,Chronic Obstructive Airway Disease,4
Cancer-Associated Retinopathy,Cardiovascular symptoms,1
Cancer-Associated Retinopathy,Wolf-Hirschhorn Syndrome,4
Cancer-Associated Retinopathy,Headache,1
Cancer-Associated Retinopathy,Signs and Symptoms,8
Cancer-Associated Retinopathy,Temporohyoid osteoarthropathy,1
Cancer-Associated Retinopathy,Severe Acute Respiratory Syndrome,1
Cancer-Associated Retinopathy,Nausea,2
Cancer-Associated Retinopathy,Multi-infarct dementia,4
Cancer-Associated Retinopathy,Subacute thyroiditis,1
Cancer-Associated Retinopathy,Pyotraumatic dermatitis,1
Cancer-Associated Retinopathy,Oculocerebrocutaneous syndrome,1
Cancer-Associated Retinopathy,Catch - Finding of sensory dimension of pain,4
Cancer-Associated Retinopathy,slight fever,1
Cancer-Associated Retinopathy,"Liver Abscess, Amebic",2
Cancer-Associated Retinopathy,Strangles,1
Cancer-Associated Retinopathy,Clouded consciousness,4
Cancer-Associated Retinopathy,Pulmonary Emphysema,1
Cancer-Associated Retinopathy,Chronic disease,1
Cancer-Associated Retinopathy,Lightheadedness,1
Cancer-Associated Retinopathy,Chills,1
Cancer-Associated Retinopathy,Asthma,4
Cancer-Associated Retinopathy,Nervousness,2
Cancer-Associated Retinopathy,Flushing,2
Cancer-Associated Retinopathy,flu symptoms,1
Cancer-Associated Retinopathy,Infantile Neuroaxonal Dystrophy,12
Cancer-Associated Retinopathy,Dry cough,1
Cancer-Associated Retinopathy,Flatulence,4
Cancer-Associated Retinopathy,Feeling strange,1
Cancer-Associated Retinopathy,Tremor,2
Cancer-Associated Retinopathy,Abdominal bloating,1
Cancer-Associated Retinopathy,Upset stomach,2
Cancer-Associated Retinopathy,Exhaustion,2
Cancer-Associated Retinopathy,Upper Respiratory Infections,1
Cancer-Associated Retinopathy,Tired,5
Cancer-Associated Retinopathy,Acute infectious disease,2
Cancer-Associated Retinopathy,Multiple Epiphyseal Dysplasia,1
Cancer-Associated Retinopathy,Muscular stiffness,5
Cancer-Associated Retinopathy,Sighing respiration,2
Cancer-Associated Retinopathy,Mandibuloacral dysostosis,1
Cancer-Associated Retinopathy,Influenza-like symptoms,1
Cancer-Associated Retinopathy,WILSON-TURNER X-LINKED MENTAL RETARDATION SYNDROME,2
Cancer-Associated Retinopathy,Sharp pain,1
Cancer-Associated Retinopathy,Sinusitis,1
Cancer-Associated Retinopathy,Pruritus,1
Cancer-Associated Retinopathy,Hamman-Rich syndrome,1
Cancer-Associated Retinopathy,Lung Problem,2
Cancer-Associated Retinopathy,Ache,2
Cancer-Associated Retinopathy,Malignant hyperpyrexia due to anesthesia,3
Cancer-Associated Retinopathy,Chest tightness,1
Cancer-Associated Retinopathy,Myocardial Ischemia,11
Cancer-Associated Retinopathy,Pelvic Organ Prolapse,1
Cancer-Associated Retinopathy,MRSA - Methicillin resistant Staphylococcus aureus infection,1
Cancer-Associated Retinopathy,STUVE-WIEDEMANN SYNDROME,5
Cancer-Associated Retinopathy,"Pain, Postoperative",1
Cancer-Associated Retinopathy,Juvenile-Onset Still Disease,1
Cancer-Associated Retinopathy,"Myelitis, Acute Transverse",1
Cancer-Associated Retinopathy,Van der Woude syndrome,3
Cancer-Associated Retinopathy,"Anemia, Diamond-Blackfan",3
Cancer-Associated Retinopathy,"AUTOINFLAMMATION, LIPODYSTROPHY, AND DERMATOSIS SYNDROME",2
Cancer-Associated Retinopathy,Neonatal Jaundice,2
Cancer-Associated Retinopathy,Dizziness,1
Cancer-Associated Retinopathy,Cerebrovascular accident,1
Cancer-Associated Retinopathy,Marinesco-Sjogren syndrome,1
Cancer-Associated Retinopathy,Agenesis of corpus callosum,5
Cancer-Associated Retinopathy,Breathing abnormally deep,1
Cancer-Associated Retinopathy,Goldberg-Shprintzen megacolon syndrome,1
Cancer-Associated Retinopathy,"Gait, Drop Foot",1
Cancer-Associated Retinopathy,Has tingling sensation,1
Cancer-Associated Retinopathy,Neurologic Symptoms,1
Cancer-Associated Retinopathy,Recurrent disease,2
Cancer-Associated Retinopathy,Deglutition Disorders,1
Cancer-Associated Retinopathy,Lethargy,1
Cancer-Associated Retinopathy,Stomach ache,1
Cancer-Associated Retinopathy,Fibromyalgia,1
Cancer-Associated Retinopathy,spells (neurological symptom),1
Cancer-Associated Retinopathy,Congestion of throat,1
Cancer-Associated Retinopathy,Conjunctivitis,1
Cancer-Associated Retinopathy,Arthritis,1
Cancer-Associated Retinopathy,Asthenopia,1
Cancer-Associated Retinopathy,Chest pressure,2
Cancer-Associated Retinopathy,Severe diarrhea,1
Cancer-Associated Retinopathy,feeling dizzy,1
Cancer-Associated Retinopathy,Vertigo,1
Cancer-Associated Retinopathy,Autoimmune Diseases,1
Cancer-Associated Retinopathy,Hepatorenal Syndrome,1
Cancer-Associated Retinopathy,Punctate inner choroidopathy,7
Cancer-Associated Retinopathy,Sympathetically independent pain,2
Cancer-Associated Retinopathy,Premenstrual syndrome,1
Cancer-Associated Retinopathy,furuncle,1
Cancer-Associated Retinopathy,"Nephritis, Interstitial",1
Cancer-Associated Retinopathy,Tropical Spastic Paraparesis,6
Cancer-Associated Retinopathy,Laryngismus paralyticus,1
Cancer-Associated Retinopathy,room spinning,1
Cancer-Associated Retinopathy,Suffocated,1
Cancer-Associated Retinopathy,Equilibration disorder,1
Cancer-Associated Retinopathy,Buzzing in ear,1
Cancer-Associated Retinopathy,Vaccinia,2
Cancer-Associated Retinopathy,Sleep Apnea Syndromes,1
Cancer-Associated Retinopathy,Kidney Failure,1
Cancer-Associated Retinopathy,Critical Illness,5
Cancer-Associated Retinopathy,Premenopausal symptoms,1
Cancer-Associated Retinopathy,Simian Acquired Immunodeficiency Syndrome,6
Cancer-Associated Retinopathy,Wiskott-Aldrich Syndrome,6
Cancer-Associated Retinopathy,Megaloblastic anemia due to inborn errors of metabolism,1
Cancer-Associated Retinopathy,Angle Closure Glaucoma,1
Cancer-Associated Retinopathy,Autoimmune disease (systemic) NOS,6
Cancer-Associated Retinopathy,Preeclamptic toxemia,4
Cancer-Associated Retinopathy,Hantavirus Infections,1
Cancer-Associated Retinopathy,Hyperextension,1
Cancer-Associated Retinopathy,Heparin-induced thrombocytopenia,4
Cancer-Associated Retinopathy,"Total Hypotrichosis, Mari type",1
Cancer-Associated Retinopathy,"Diarrhea and vomiting, symptom",1
Cancer-Associated Retinopathy,Chest pain on breathing,1
Cancer-Associated Retinopathy,Agonizing Pain,1
Cancer-Associated Retinopathy,Blackout - symptom,1
Cancer-Associated Retinopathy,Pneumocystis jiroveci pneumonia,1
Cancer-Associated Retinopathy,Painful Bladder Syndrome,3
Cancer-Associated Retinopathy,Agitation,1
Cancer-Associated Retinopathy,Terminal illness,4
Cancer-Associated Retinopathy,Autoimmune hemolytic anemia,1
Cancer-Associated Retinopathy,Bronchiectasis,3
Cancer-Associated Retinopathy,"Elliptocytosis, Hereditary",1
Cancer-Associated Retinopathy,MOHR-TRANEBJAERG SYNDROME,1
Cancer-Associated Retinopathy,Muscle Rigidity,1
Cancer-Associated Retinopathy,Epilepsy,2
Cancer-Associated Retinopathy,Somnambulism,1
Cancer-Associated Retinopathy,Digestive System Disorders,1
Cancer-Associated Retinopathy,Pulmonary Stenosis,2
Cancer-Associated Retinopathy,Psoriasis,3
Cancer-Associated Retinopathy,Euthyroid Sick Syndromes,2
Cancer-Associated Retinopathy,Brown oculocutaneous albinism,1
Cancer-Associated Retinopathy,Restless Legs Syndrome,1
Cancer-Associated Retinopathy,Cold intolerance,2
Cancer-Associated Retinopathy,"CEREBELLAR ATAXIA, NEUROPATHY, AND VESTIBULAR AREFLEXIA SYNDROME",1
Cancer-Associated Retinopathy,"MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE I",1
Cancer-Associated Retinopathy,headache migraine chronic,1
Cancer-Associated Retinopathy,Peripheral Vascular Diseases,1
Cancer-Associated Retinopathy,Hip pain,1
Cancer-Associated Retinopathy,Post-infectious encephalitis,1
Cancer-Associated Retinopathy,Chikungunya virus infection,1
Cancer-Associated Retinopathy,Common Migraine,1
Cancer-Associated Retinopathy,Dystonia Disorders,1
Cancer-Associated Retinopathy,Hereditary Multiple Exostoses,1
Cancer-Associated Retinopathy,"Failure of Tooth Eruption, Primary",2
Cancer-Associated Retinopathy,Dryness of eye,2
Cancer-Associated Retinopathy,Chronic lobular hepatitis,2
Cancer-Associated Retinopathy,Lesch-Nyhan Syndrome,2
Cancer-Associated Retinopathy,Vitelliform Macular Dystrophy,2
Cancer-Associated Retinopathy,Indifferent mood,2
Cancer-Associated Retinopathy,Pneumopericardium,1
Cancer-Associated Retinopathy,Pancreatic Pseudocyst,1
Cancer-Associated Retinopathy,Zunich neuroectodermal syndrome,2
Cancer-Associated Retinopathy,Nodular glomerulosclerosis,1
Cancer-Associated Retinopathy,Purpura pigmentosa chronica,1
Cancer-Associated Retinopathy,RAINE SYNDROME,1
Cancer-Associated Retinopathy,Liver diseases,1
Cancer-Associated Retinopathy,Chronically Ill,1
Cancer-Associated Retinopathy,HIV-infection (AIDS/ARC),1
Cancer-Associated Retinopathy,"Encephalomyelitis, Western Equine",1
