PostNumber,SymptomName,PostLink,Drugs,Treatment,BodyParts,Title,Author,Total_Replies,Total_Weight
11,"['Axenfeld-Rieger syndrome', 'Gonorrhea', 'Geroderma osteodysplastica', 'Pallister-Hall syndrome', 'Chronic otitis media', 'Reflex Sympathetic Dystrophy', 'organic disorders', 'Coronavirus Infections', 'Disease', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=65,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Disinfection', 'nursing therapy', 'peritoneal dialysate (treatment)', 'Decontamination', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Abdominoperineal resection', 'Excision of axillary lymph nodes', 'Etoposide/Ifosfamide/Mesna/Mitoxantrone', 'Direct Method', 'Discussion (procedure)', nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Hand', 'Entire face']",keeping the custodial staff safe,always mom,5,254.54545454545453
12,"['Gonorrhea', 'Geroderma osteodysplastica', 'WILSON-TURNER X-LINKED MENTAL RETARDATION SYNDROME', 'Carpal Tunnel Syndrome', 'Dehydration', 'Coronavirus Infections', 'Dandy-Walker Syndrome', 'Seizures', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=44,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, 'Transjugular intrahepatic portosystemic shunt procedure', 'Meditation Therapy', 'Distraction therapy', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Exercise Pain Management', nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Respiratory Diaphragm', 'Adrenal Glands', 'Structure of putamen', 'Common carotid artery', 'Entire appendix']",nutrition and exercise,cast away,13,654.1666666666666
13,"['Pelvic Organ Prolapse', 'Pain, Postoperative', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=52,"[nan, nan, nan, nan]","[nan, nan, 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', nan]","[nan, nan, nan, 'Entire appendix']",staying connected,girl mom,6,303.84615384615387
14,"['Infantile Neuroaxonal Dystrophy', 'Lung Diseases, Obstructive', 'Simian Acquired Immunodeficiency Syndrome', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=57,"[nan, nan, nan, nan, nan, nan]","[nan, nan, nan, 'Induced abortion (procedure)', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', nan]","[nan, nan, nan, nan, nan, 'Entire elbow region']",creative quaratining,harbir parmar,1,53.57142857142857
15,"['Gonorrhea', 'Geroderma osteodysplastica', 'Malignant hyperpyrexia due to anesthesia', ""Little's Disease"", 'Carpal Tunnel Syndrome', 'Lung Diseases, Obstructive', 'Simian Acquired Immunodeficiency Syndrome', 'Signs and Symptoms', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=61,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, 'Transjugular intrahepatic portosystemic shunt procedure', '5 minutes Office visit', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Exercise Pain Management', 'Osteogenesis, Distraction', 'Cardiac Lead Procedure', nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Respiratory Diaphragm', 'Structure of putamen']",maintaining progress while feeling overwhelmed,elephants rock,4,203.33333333333334
16,"[""Little's Disease"", 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=72,"[nan, nan, nan, nan]","[nan, 'Therapeutic tactile stimulation', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Discussion (procedure)']","[nan, nan, nan, nan]",seeing or talking to doctors regularly?,shark attack56,1,53.125
17,"['Spastic syndrome', 'Chronic otitis media', 'Lung Diseases, Obstructive', 'Acute gastroenteritis', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=64,"[nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, 'Transjugular intrahepatic portosystemic shunt procedure', '5 minutes Office visit', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol']","[nan, nan, nan, nan, nan, nan, nan]",how much screen time?,guitar girl,1,52.94117647058823
18,"['Preeclamptic toxemia', 'Gonorrhea', 'Geroderma osteodysplastica', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=74,"[nan, nan, nan, nan, nan, nan]","[nan, nan, nan, 'Yoga', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Discussion (procedure)']","[nan, nan, nan, nan, nan, nan]",positive side of things?,cactus 1994,2,102.77777777777777
19,"['Gonorrhea', 'Geroderma osteodysplastica', 'Pallister-Hall syndrome', 'Communicable Diseases', 'Palmar-plantar erythrodysesthesia syndrome', 'Coronavirus Infections', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=75,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, 'Transjugular intrahepatic portosystemic shunt procedure', 'Incision and drainage', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Hand', 'Entire face']",anxiety,s kau,1,52.631578947368425
20,"['Gonorrhea', 'Geroderma osteodysplastica', 'Communicable Diseases', ""Little's Disease"", 'Coronavirus Infections', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=53,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, 'Induced abortion (procedure)', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, 'Hand', 'Stomach', 'Lung', 'Entire ear']",work,maria-grazia dragonetti,4,202.5
21,"['Malignant hyperpyrexia due to anesthesia', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=76,"[nan, nan, nan]","[nan, 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Discussion (procedure)']","[nan, nan, nan]",payroll,george hockey,1,52.38095238095238
22,"['Gonorrhea', 'Geroderma osteodysplastica', 'Pallister-Hall syndrome', 'Dermatofibrosis lenticularis disseminata', 'Testicular regression syndrome', 'Disease', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=77,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, 'Single Embryo Transfer', 'peritoneal dialysate (treatment)', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Tannenbaum electroanalgesia method', 'Osteogenesis, Distraction', nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Entire putamen', 'Hand']",being pressured to work at the office,dotdot exclamationpoint,3,152.27272727272728
23,"[""Little's Disease"", 'Chronic Obstructive Airway Disease', 'Signs and Symptoms', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=78,"[nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, 'Transjugular intrahepatic portosystemic shunt procedure', 'Anterior decompression of shoulder joint', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Family support', 'Discussion (procedure)', nan]","[nan, nan, nan, nan, nan, nan, nan, nan, 'Entire face']",feeling down,cr r,4,202.17391304347825
24,"['Gonorrhea', 'Geroderma osteodysplastica', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=79,"[nan, nan, nan, nan, nan, nan]","[nan, nan, 'Obstetric Delivery', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Discussion (procedure)', 'Urgent Procedure']","[nan, nan, nan, nan, nan, nan]",what do i do?,ihave aquestion,2,102.08333333333333
25,"['Infantile Neuroaxonal Dystrophy', 'Simian Acquired Immunodeficiency Syndrome', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=83,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, 'Soaking Procedure', 'Universal Precautions', 'Adoptive Immunotherapy', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Isolation procedure', 'Exercise Pain Management', nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, 'Respiratory Diaphragm', 'Structure of putamen', 'Downy hair']",staying positive,n u,2,102.0
26,"['nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=58,"[nan, nan, nan, nan, nan]","['cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Insertion of pack (procedure)', nan, nan, nan]","[nan, nan, 'Structure of putamen', 'Entire finger', 'Animal Coat']",can time fly by?,summer girl20,6,301.9230769230769
27,"['Gonorrhea', 'Geroderma osteodysplastica', 'Chronic otitis media', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=86,"[nan, nan, nan, nan]","[nan, nan, nan, 'Transjugular intrahepatic portosystemic shunt procedure']","[nan, nan, nan, nan]",neighbours not isolating,the dude abides,3,151.85185185185185
28,"['Hypertensive disease', 'Gonorrhea', 'Geroderma osteodysplastica', 'Malignant hyperpyrexia due to anesthesia', 'Myocardial Infarction', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=89,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, 'Transjugular intrahepatic portosystemic shunt procedure', 'Reparative closure', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, 'Entire putamen', 'bony process']",having to stay home,mya mya,1,51.785714285714285
29,"['Gonorrhea', 'Geroderma osteodysplastica', 'Malignant hyperpyrexia due to anesthesia', 'Seizures', 'Gait, Drop Foot', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=54,"[nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, 'Modest-Temperature Hyperthermia', 'peritoneal dialysate (treatment)', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', nan]","[nan, nan, nan, nan, nan, nan, nan, nan, 'Respiratory Diaphragm']",how long will this go on for?,pauly p,9,451.7241379310345
30,"['Gonorrhea', 'Geroderma osteodysplastica', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=70,"[nan, nan, nan, nan, nan, nan]","[nan, nan, 'reframing', 'Meditation Therapy', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', nan]","[nan, nan, nan, nan, nan, 'Eye']",great time for deep reflections!~,gary goodwin,7,351.6666666666667
31,"['Malignant hyperpyrexia due to anesthesia', 'Coronary Arteriosclerosis', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=85,"[nan, nan, nan, nan, nan, nan, nan]","[nan, nan, 'Surgical Procedures, Minimally Invasive', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Incision and drainage', 'Discussion (procedure)', nan]","[nan, nan, nan, nan, nan, nan, 'Respiratory Diaphragm']","i need help, i have no supports",cactus 1994,4,201.61290322580646
32,"['Gonorrhea', 'Geroderma osteodysplastica', 'Communicable Diseases', 'SHORT STATURE, IDIOPATHIC, X-LINKED', 'Flatulence', 'Sensory Discomfort', 'Exhaustion', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=92,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, 'Modest-Temperature Hyperthermia', 'Transjugular intrahepatic portosystemic shunt procedure', 'Induced abortion (procedure)', 'Administration procedure', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Osteogenesis, Distraction', 'Therapeutic procedure', nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Respiratory Diaphragm', 'Entire putamen']",higher risk = higher panic,ethel luna,1,51.5625
33,"['Gonorrhea', 'Geroderma osteodysplastica', 'Malignant hyperpyrexia due to anesthesia', 'Amelogenesis imperfecta nephrocalcinosis', 'Tired', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=90,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, 'Transection (procedure)', 'Mental health care', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Urgent Procedure', 'Discussion (procedure)', nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Nail plate', 'Structure of putamen']",feeling down,cr r,10,501.5151515151515
34,"['Gonorrhea', 'Geroderma osteodysplastica', 'Malignant hyperpyrexia due to anesthesia', 'Wolf-Hirschhorn Syndrome', 'Gray Platelet Syndrome', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=94,"[nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, 'Modest-Temperature Hyperthermia', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Discussion (procedure)']","[nan, nan, nan, nan, nan, nan, nan, nan]",help! can't get my antidepressant anymore!!! nardil,butterflyna i am,8,401.47058823529414
35,"['Gonorrhea', 'Geroderma osteodysplastica', 'Communicable Diseases', 'Malignant hyperpyrexia due to anesthesia', 'Palmar-plantar erythrodysesthesia syndrome', 'sick to stomach', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=96,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, 'The science and art of healing', 'Transjugular intrahepatic portosystemic shunt procedure', 'Induced abortion (procedure)', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Respiratory Diaphragm', 'Eye']",pandemic help,basketball11 love101,1,51.42857142857143
36,"['Malignant hyperpyrexia due to anesthesia', 'Testicular regression syndrome', 'Signs and Symptoms', 'Tired', 'Pain', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=97,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, 'cyclophosphamide/fluorouracil/methotrexate/vincristine protocol', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Discussion (procedure)', nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, 'Respiratory Diaphragm', 'Common carotid artery', 'bony process', 'Branch of', 'Stem of Organ']",addiction and mental health during this pandemic,zeriah sawyer-dodge,1,51.388888888888886
37,"['Gonorrhea', 'Geroderma osteodysplastica', 'Malignant hyperpyrexia due to anesthesia', 'Disease', 'Dizziness', 'Slow respiration', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=63,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, 'Transjugular intrahepatic portosystemic shunt procedure', 'Meditation Therapy', 'Reduction - action', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Calming', 'Exercise Pain Management', 'Thymectomy', 'Discussion (procedure)', 'Cardiac Lead Procedure', nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Entire head', 'Common carotid artery', 'Entire appendix']","meditation, mindfulness and stress relieving techniques",duchess of toronto,11,551.3513513513514
38,"['Gonorrhea', 'Geroderma osteodysplastica', 'Infantile Neuroaxonal Dystrophy', 'Malignant hyperpyrexia due to anesthesia', 'Amelogenesis imperfecta nephrocalcinosis', 'Wolf-Hirschhorn Syndrome', 'Simian Acquired Immunodeficiency Syndrome', 'Coronavirus Infections', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=98,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, 'Surgical and medical procedures', 'cyclophosphamide/fluorouracil/methotrexate/vincristine protocol', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'peer prevention', 'Exercise Pain Management', 'Therapeutic procedure', 'Urgent Procedure', nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Common carotid artery', 'Entire appendix', 'Entire face']",not comforable with my family doctor,sue nich,1,51.31578947368421
39,"['Signs and Symptoms', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=99,"[nan, nan, nan, nan, nan]","[nan, 'Interventional procedure', 'Harm Reduction', 'Disease management program (regime/therapy)', nan]","[nan, nan, nan, nan, 'bony process']",harm reduction kits? addiction support?,insom 96,1,51.282051282051285
40,"['Gonorrhea', 'Geroderma osteodysplastica', ""Little's Disease"", 'Muscle Cramp', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=100,"[nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', nan]","[nan, nan, nan, nan, nan, 'Foot']",is anyone perfect when it comes to physical distancing?,guitar girl,1,51.25
41,"['Gonorrhea', 'Geroderma osteodysplastica', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=91,"[nan, nan, nan, nan, nan, nan, nan]","[nan, nan, 'Induced abortion (procedure)', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Discussion (procedure)', nan, nan]","[nan, nan, nan, nan, nan, 'Structure of putamen', 'Entire hand']","i have mixed feelings about things opening up , i like to go back to normal but worried that i will get the virus and that the employer will provide the safety for employees",scott stafford,3,151.21951219512195
42,"['nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=103,"[nan, nan]","['cisplatin/etoposide/mitoxantrone/tamoxifen protocol', nan]","[nan, 'Structure of putamen']",making an effort to reach out,davana l,2,101.19047619047619
43,"['Gonorrhea', 'Geroderma osteodysplastica', 'Malignant hyperpyrexia due to anesthesia', 'Signs and Symptoms', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=93,"[nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, 'Transjugular intrahepatic portosystemic shunt procedure', 'Mental health care', 'Single Embryo Transfer', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol']","[nan, nan, nan, nan, nan, nan, nan, nan]",friend problem,catness 45,4,201.1627906976744
44,"['Pallister-Hall syndrome', 'Disorder of face', 'Lung Diseases, Obstructive', 'Coronavirus Infections', 'Seizures', 'Signs and Symptoms', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=105,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, 'Transjugular intrahepatic portosystemic shunt procedure', 'prevention of infection', 'Prophylactic treatment', 'disorder control (procedure)', nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Structure of supraoptic nucleus', 'Entire face', 'Entire ear', 'anatomical layer']",any good safe economical facemark referral please?,worried parent,1,51.13636363636363
45,"['Gonorrhea', 'Geroderma osteodysplastica', ""Little's Disease"", 'Bronchopulmonary Dysplasia', 'POPLITEAL PTERYGIUM SYNDROME, LETHAL TYPE', 'Disease', 'Pain', 'Dyspnea on exertion', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=106,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, 'Treated with', 'Transjugular intrahepatic portosystemic shunt procedure', 'personal safety', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Behavior Therapy']","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",just reaching out,john doe,1,51.111111111111114
46,"['Gonorrhea', 'Geroderma osteodysplastica', 'Hantavirus Infections', 'Autoimmune disease (systemic) NOS', 'Malignant hyperpyrexia due to anesthesia', 'Cancer-Associated Retinopathy', 'Myocardial Ischemia', 'Gray Platelet Syndrome', 'Tired', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=104,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Transjugular intrahepatic portosystemic shunt procedure', 'Surgical Procedures, Minimally Invasive', 'Anterior decompression of shoulder joint', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Discussion (procedure)', 'Cardiac Lead Procedure', nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Downy hair']",anxiety/saddness,jenny d.,2,101.08695652173913
