PostNumber,SymptomName,PostLink,Drugs,Treatment,BodyParts,Title,Author,Total_Replies,Total_Weight
11,"['Myopathy', 'Coronavirus Infections', 'Muscle Weakness', 'nan', 'nan']",https://patient.info//forums/discuss/cholesterol-on-covid-19-756645,"[nan, nan, nan, nan, nan]","[nan, nan, nan, 'DRUGS', 'Therapeutic procedure']","[nan, nan, nan, nan, nan]",cholesterol on covid 19,/forums/profiles/anthony51986-1066823,0,4.545454545454546
12,"['nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/i-wonder-whether-i-am-considered-vaccine-compromised-biontec-moderna--756545,"[nan, nan, nan, nan, nan]","['heart - aortic valve', 'on anti-coagulants', nan, nan, nan]","[nan, nan, 'Heart', 'Structure of anulus fibrosus of aorta', 'Aorta']","i wonder whether i am considered vaccine compromised (biontec, moderna)",/forums/profiles/gudrun89016-1360179,0,4.166666666666667
13,"['Communicable Diseases', 'Fatigue', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/oxygen-requirement-has-gone-up-750438,"[nan, nan, nan, nan, nan, nan, 'Oxygen 93 %', 'Oxygen 20 %', 'Oxygen 2 %']","[nan, nan, 'Administration of antibiotic', 'Continuous Positive Airway Pressure', 'Detection', 'Therapeutic procedure', nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan]",oxygen requirement has gone up,/forums/profiles/pankti28208-1344144,8,403.84615384615387
14,"['Ache', 'Feeling Sick', 'Coughing', 'nan']",https://patient.info//forums/discuss/loss-of-smell-and-taste-5-days-after-nasal-congestion-and-a-very-bad-throat--756254,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, 'Entire throat (surface region of neck)']",loss of smell and taste 5 days after nasal congestion and a very bad throat....,/forums/profiles/sallaka-1359070,2,103.57142857142857
15,"['Disease', 'Seizures', 'Dizziness']",https://patient.info//forums/discuss/permanent-dizzyness-756364,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",permanent dizzyness,/forums/profiles/alexandra02984-1359404,0,3.3333333333333335
16,"['Ageusia', 'Coughing', 'Nose symptoms', 'nan']",https://patient.info//forums/discuss/loss-of-taste-and-smell-due-to-covid-19-756317,"[nan, nan, nan, nan]","[nan, nan, nan, 'Isolation procedure']","[nan, nan, nan, nan]",loss of taste and smell due to covid-19,/forums/profiles/rebecca36950-1359262,4,203.125
17,"['Chronic Fatigue Syndrome', 'Allergic disposition', 'Sjogren-Larsson Syndrome', 'Influenza', 'Burning Mouth Syndrome', 'Asthma', 'Urticaria', 'Anaphylaxis (non medication)', 'Pruritus', 'Burning mouth (sensation)', 'Lip swelling', 'Dyspnea', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/is-covid-vaccine-safe-for-allergy-sufferers--755730,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Obstetric Delivery', 'Incision and drainage', 'Special Diet Therapy', nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Entire throat (surface region of neck)', 'Tongue', 'Entire face']",is covid vaccine safe for allergy sufferers?,/forums/profiles/elaine62759-841202,2,102.94117647058823
18,"['Renal carnitine transport defect', 'Common Cold', 'Cyclic neutropenia', 'Seizures', 'side pain', 'Malaise', 'Fatigue', 'Headache', 'Blood in stool', 'Rhinorrhea', 'Ageusia', 'Constipation', 'Nausea', 'Hunger', 'Abdominal bloating', 'Congestion of throat', 'Weakness', 'Coughing', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/covid-positive-with-digestive-system-problems-750183,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Electroconvulsive Therapy', nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Bone structure of rib', 'Urinary Bladder', 'Anatomic Node', 'ribs on right side', 'Intestines', 'Veins']",covid positive with digestive system problems,/forums/profiles/aali-1343465,4,202.77777777777777
19,"['Encephalitis', 'Rhinorrhea', 'Headache', 'Coughing']",https://patient.info//forums/discuss/intense-headaches-during-covid-recovery-756195,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]",intense headaches during covid recovery,/forums/profiles/mr52396-1356186,0,2.6315789473684212
20,"['Pharyngitis', 'Common Cold', 'Conjunctivitis', 'Acute contagious conjunctivitis', 'Coronavirus Infections', 'Chest Pain', 'BODY ACHE', 'Fatigue', 'Headache', 'Pain', 'Exhaustion', 'Rhinorrhea', 'Arthralgia', 'Nasal congestion (finding)', 'Watery eyes', 'Chest tightness', 'Nausea', 'Sore Throat', 'Weakness', 'Dry cough', 'Coughing', 'Cold sweat', 'Night sweats', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/how-did-your-symptoms-start--753618,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Interventional procedure', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Isolation procedure', nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Entire throat (surface region of neck)']",how did your symptoms start?,/forums/profiles/holly25225-1171394,12,602.5
21,"['Breathing abnormally deep', 'Dyspnea']",https://patient.info//forums/discuss/how-does-shortness-of-breath-actually-feel-like--756005,"[nan, nan]","[nan, nan]","[nan, nan]",how does shortness of breath actually feel like?,/forums/profiles/mr52396-1356186,0,2.380952380952381
22,"['Arthritis', 'Fatigue', 'Myalgia', 'nan']",https://patient.info//forums/discuss/swollen-cracked-tongue-755990,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, 'Set of muscles']",swollen cracked tongue,/forums/profiles/anthony51986-1066823,0,2.272727272727273
23,"['Coronavirus Infections', 'Chest Pain', 'Coughing', 'Pain', 'Mastodynia']",https://patient.info//forums/discuss/hurts-to-breathe-in-755785,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]",hurts to breathe in,/forums/profiles/tom1995-1345972,2,102.17391304347827
24,"['Communicable Diseases', 'Headache', 'Coughing', 'nan']",https://patient.info//forums/discuss/high-fibrinogen-and-ferritin-levels-with-covid-755814,"[nan, nan, nan, nan]","[nan, nan, nan, 'blood medications']","[nan, nan, nan, nan]",high fibrinogen and ferritin levels with covid,/forums/profiles/mr52396-1356186,0,2.0833333333333335
25,"['Nervousness', 'Clouded consciousness', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/vaccination-centres-unsafe--755424,"[nan, nan, nan, nan, nan, nan]","[nan, nan, 'Vaccination', 'Discussion (procedure)', nan, nan]","[nan, nan, nan, nan, 'Entire nerve', 'Quarter of the Udder']",vaccination centres unsafe.,/forums/profiles/mike24933-1201954,2,102.0
26,"['Influenza', 'IMMUNODEFICIENCY, COMMON VARIABLE, 10', 'Ache', 'Signs and Symptoms', 'Abdominal Pain', 'Feeling Sick', 'Upset stomach', 'Fatigue', 'Pain', 'Muscle Cramp', 'Mastodynia', 'Exhaustion', 'Feeling of loss of feeling', 'Ageusia', 'Stomach ache', 'Illness (finding)', 'Constipation', 'Chest tightness', 'Nausea', 'Dizziness', 'Has tingling sensation', 'Coughing', 'Stomach cramps (finding)', 'Fatigue - symptom', 'Sore to touch', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/lingering-symptoms-after-3-weeks-stomach-pains-nausea-753889,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Entire head', 'Entire stomach', 'Toes', 'Bile duct structure', 'Brain', 'Stomach', 'Intestines']",lingering symptoms after 3 weeks - stomach pains/nausea,/forums/profiles/linda75236-1352642,20,1001.9230769230769
27,"['flu symptoms', 'Tension Headache', 'Common Cold', 'Staring', 'cold symptoms', 'Influenza', 'Dysosmia', 'Anosmia', 'Feeling Sick', 'taste sour', 'Headache', 'Syncope', 'Dyspnea', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/post-covid-odd-smells-and-tastes-753797,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Aromatherapy', 'Shampooing (action)', nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Nose']",post covid odd smells and tastes,/forums/profiles/stvns78-1352464,8,401.85185185185185
28,"['Communicable Diseases', 'Pharyngitis', 'Nasal congestion (finding)', 'Sore Throat', 'Headache', 'Coughing', 'Breathing abnormally deep', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/elevated-heart-rate-with-possible-covid-dangerous--755416,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, 'Heart', 'Eye', 'bony process', 'Body organ structure']",elevated heart rate with possible covid dangerous?,/forums/profiles/mr52396-1356186,2,101.78571428571429
29,"['Communicable Diseases', 'Infection of kidney', 'Ache', 'Dizziness', 'Headache', 'Syncope', 'Back Pain', 'Pain', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/kidney-infection-755255,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, 'Bone structure of rib', 'Heart', 'Supernumerary mandibular right central primary incisor']",kidney infection,/forums/profiles/rachel_35350-1157001,2,101.72413793103448
30,"['Communicable Diseases', 'BODY ACHE', 'Exanthema', 'Dizziness', 'Coughing', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/mom-positive-with-covid-brain-fog-memory-issues-750695,"[nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, 'Physical therapy exercises', nan, nan]","[nan, nan, nan, nan, nan, nan, 'Brain', 'Foot']","mom positive with covid - brain fog, memory issues",/forums/profiles/robert13185-1344780,2,101.66666666666667
31,"['BODY ACHE', 'out (of) breath', 'Dizziness', 'Weakness', 'Headache', 'nan']",https://patient.info//forums/discuss/dizziness-and-body-aches-help--754367,"[nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, 'Cardiac Lead Procedure']","[nan, nan, nan, nan, nan, nan]",dizziness and body aches help!,/forums/profiles/nicole0003-1344720,4,201.61290322580646
32,"['Urticaria', 'BODY ACHE', 'Sore Throat', 'Dizziness', 'Mastodynia', 'nan', 'nan']",https://patient.info//forums/discuss/10-months-after-having-covid-and-still-ill-752301,"[nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, 'Heart', 'Airway structure']",10 months after having covid and still ill,/forums/profiles/kerrilei16-251920,12,601.5625
33,"['Pharyngitis', 'Asthenopia', 'Sore eye', 'Tired', 'Pain', 'Tremor', 'Chest pressure', 'Arthralgia', 'Anosmia', 'Sore Throat', 'Pruritus', 'Throbbing Headache', 'Coughing', 'Dyspnea', 'Sore to touch', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/tested-negative-but-post-test-symptoms-got-worse-755304,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Exercise Pain Management', nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Lower back structure', 'Entire head', 'Eye', 'Pharyngeal structure']",tested negative but post test symptoms got worse,/forums/profiles/mr52396-1356186,2,101.51515151515152
34,"['Coronavirus Infections', 'Lower respiratory tract infection', 'Rhinorrhea', 'Ache', 'Burning sensation in eye', 'Watery eyes', 'Fatigue', 'Pruritus', 'Burning sensation', 'Catch - Finding of sensory dimension of pain', 'Headache', 'Coughing', 'Sore to touch', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/just-tested-positive-754268,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Self Monitoring', nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Eye', 'Lanugo', 'Entire face', 'Nose', 'Entire neck']",just tested positive,/forums/profiles/amanda11064-1353516,4,201.47058823529412
35,"['Hypertensive disease', 'Diabetes Mellitus', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/i-have-mental-disorder-after-covid-19-for-first-time-is-anyone-had-the-same-and-how-can-l-help-myself--755053,"[nan, nan, nan, nan, nan]","[nan, nan, 'Therapeutic procedure', nan, nan]","[nan, nan, nan, 'Entire head', 'Brain']","i have mental disorder after covid- 19 for first time. is anyone had the same,and how can l help myself?",/forums/profiles/daniela96752-1355634,2,101.42857142857143
36,"['Constipation', 'Feeling Sick', 'Nausea']",https://patient.info//forums/discuss/feeling-sick-and-shakes-after-eating-755216,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",feeling sick and shakes after eating,/forums/profiles/linda75236-1352642,2,101.38888888888889
37,"['Anorexia', 'Ataxia Telangiectasia', 'Gastroesophageal reflux disease', 'Fish-Eye Disease', 'Pharyngitis', 'Pneumonia', 'Xerostomia', 'Lower respiratory tract infection', 'Heartburn', 'Diarrhea', 'Chest Pain', 'Tired', 'Abdominal Pain', 'Severe diarrhea', 'Burning sensation', 'Pain', 'Stomach ache', 'Nausea', 'Abdominal bloating', 'Sore Throat', 'Eructation', 'Sore to touch', 'Dyspnea', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/anyone-get-terrible-acid-reflux-after-having-covid--750660,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Transection (procedure)', 'Severing', 'Liquid diet', 'Incision and drainage', 'Isolation procedure', nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Entire stomach', 'Supernumerary mandibular right central primary incisor', 'Entire throat (surface region of neck)', 'Stomach', 'Esophagus', 'Sphincter', 'anatomic valve', 'Entire neck']",anyone get terrible acid reflux after having covid?,/forums/profiles/allison91964-1344691,14,701.3513513513514
38,"['Gastroesophageal reflux disease', 'Common Cold', 'Tired', 'Fatigue', 'Myalgia', 'Pain', 'feeling dizzy', 'Mastodynia', 'Nausea', 'Vertigo', 'feeling like vomiting', 'Dizziness', 'Hot flushes', 'Depressed - symptom', 'Night sweats', 'Chills', 'Dyspnea', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/finally-negative-symptoms-still-lingering--753713,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Group reassurance', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Entire head', 'Mandibular right first molar', 'Entire neck', 'Foot']",finally negative symptoms still lingering!!,/forums/profiles/chris_47610-1201682,18,901.3157894736842
39,"['Parkinsonian Disorders', 'Parkinson Disease', 'nan', 'nan']",https://patient.info//forums/discuss/parkinsonism-and-covid-19-754778,"[nan, nan, nan, nan]","[nan, nan, 'Reminding', nan]","[nan, nan, nan, 'Entire head']",parkinsonism and covid 19,/forums/profiles/steve83568-920875,0,1.2820512820512822
