PostNumber,SymptomId,SymptomName,TreatmentId,TreatmentName,DrugId,DrugName,BodypartId,BodypartName,PostLink
1,,,,,,,C0038869,Structure of supraoptic nucleus,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
1,,,,,,,C0034169,Structure of putamen,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
1,,,,,,,C0699819,Gut,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
1,,,,,,,C0423866,Downy hair,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
1,,,,,,,C0016504,Foot,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
1,,,,,,,C0175516,Nucleus raphe obscurus,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
2,C0018081,Gonorrhea,,,,,,,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,C0432255,Geroderma osteodysplastica,,,,,,,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,C0023882,Little's Disease,,,,,,,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,C0863093,cold symptoms,,,,,,,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,C0600260,"Lung Diseases, Obstructive",,,,,,,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,C0266427,Testicular regression syndrome,,,,,,,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,C1861457,PROGRESSIVE ENCEPHALOMYELITIS WITH RIGIDITY,,,,,,,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,C0003126,Anosmia,,,,,,,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,,,C1513378,Modest-Temperature Hyperthermia,,,,,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,,,C0040461,Toothbrushing,,,,,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,,,C0279848,cisplatin/etoposide/mitoxantrone/tamoxifen protocol,,,,,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,,,C0184933,Scraping,,,,,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,,,C0087111,Therapeutic procedure,,,,,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,,,C0524975,"Osteogenesis, Distraction",,,,,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,,,,,,,C0501385,Sensory nerve,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,,,,,,,C0027792,Neural Pathways,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,,,,,,,C1278913,Entire tongue,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,,,,,,,C1280541,Entire nerve,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,,,,,,,C0006104,Brain,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,,,,,,,C1184743,bony process,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,,,,,,,C0024109,Lung,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,,,,,,,C0028429,Nose,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
3,C0018081,Gonorrhea,,,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
3,C0432255,Geroderma osteodysplastica,,,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
3,C0009450,Communicable Diseases,,,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
3,C0271441,Chronic otitis media,,,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
3,C1845118,"SHORT STATURE, IDIOPATHIC, X-LINKED",,,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
3,C0600260,"Lung Diseases, Obstructive",,,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
3,C0019340,Herpes,,,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
3,C0683324,organic disorders,,,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
3,C0796126,AICARDI-GOUTIERES SYNDROME 1,,,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
3,C0206750,Coronavirus Infections,,,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
3,C1861457,PROGRESSIVE ENCEPHALOMYELITIS WITH RIGIDITY,,,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
3,C0012634,Disease,,,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
3,C0085594,Fever with chills,,,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
3,C0241898,Generalized fatigue,,,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
3,C0015672,Fatigue,,,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
3,C0234233,Sore to touch,,,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
3,,,C1963724,Antiretroviral therapy,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
3,,,C1293107,Expulsion (procedure),,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
3,,,C0279848,cisplatin/etoposide/mitoxantrone/tamoxifen protocol,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
3,,,C0872104,Assisted Reproductive Technologies,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
3,,,C0078140,bleomycin/methotrexate/vincristine protocol,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
3,,,C0204727,Isolation procedure,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
3,,,C0087111,Therapeutic procedure,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
3,,,C1571809,Visceral manipulation,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
3,,,C1293132,Anchoring procedure,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
3,,,,,,,C0011980,Respiratory Diaphragm,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
3,,,,,,,C0178784,Organ,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
3,,,,,,,C1184743,bony process,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742
4,C0018081,Gonorrhea,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C0432255,Geroderma osteodysplastica,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C3539909,Allergic disposition,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C0009450,Communicable Diseases,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C0011847,Diabetes,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C0009443,Common Cold,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C0021400,Influenza,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C1845118,"SHORT STATURE, IDIOPATHIC, X-LINKED",,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C0600260,"Lung Diseases, Obstructive",,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C0206750,Coronavirus Infections,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C0030305,Pancreatitis,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C1260880,Rhinorrhea,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C0003126,Anosmia,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C0010200,Coughing,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C0004093,Asthenia,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,C0013404,Dyspnea,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,,,C0332293,Treated with,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,,,C0034386,Quarantine,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,,,C0279848,cisplatin/etoposide/mitoxantrone/tamoxifen protocol,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,,,C0152277,Incision and drainage,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,,,C0078140,bleomycin/methotrexate/vincristine protocol,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,,,C0087111,Therapeutic procedure,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,,,C0524975,"Osteogenesis, Distraction",,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,,,C3275067,Cardiac Lead Procedure,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,,,,,,,C0016976,Gallbladder,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
4,,,,,,,C0028429,Nose,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018
5,C0456909,Blind Vision,,,,,,,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281
5,C0018081,Gonorrhea,,,,,,,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281
5,C0432255,Geroderma osteodysplastica,,,,,,,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281
5,C0029437,Idiopathic Multicentric Osteolyses,,,,,,,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281
5,C0007286,Carpal Tunnel Syndrome,,,,,,,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281
5,C0021400,Influenza,,,,,,,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281
5,C1845118,"SHORT STATURE, IDIOPATHIC, X-LINKED",,,,,,,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281
5,C0020498,"Hyperostosis, Diffuse Idiopathic Skeletal",,,,,,,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281
5,C1864389,PREMATURE CHROMATID SEPARATION TRAIT,,,,,,,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281
5,C0018520,Halitosis,,,,,,,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281
5,,,C2717901,Single Embryo Transfer,,,,,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281
5,,,C0020944,Immobilization,,,,,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281
5,,,C0038897,Cardiovascular Surgical Procedures,,,,,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281
5,,,C0279848,cisplatin/etoposide/mitoxantrone/tamoxifen protocol,,,,,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281
5,,,C0441610,Reduction - action,,,,,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281
5,,,C3275067,Cardiac Lead Procedure,,,,,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281
5,,,,,C0973919,ALCOHOL/BENZOIC ACID/EUCALYPTOL/METHYL SALICYLATE/THYMOL LIQUID,,,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281
5,,,,,,,C1278896,Entire nose,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281
5,,,,,,,C0227073,Mandibular right first molar,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281
5,,,,,,,C1280698,Entire throat (surface region of neck),https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281
5,,,,,,,C0018563,Hand,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281
5,,,,,,,C0225412,Structure of root of nose,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281
5,,,,,,,C0162859,Common carotid artery,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281
5,,,,,,,C1283892,Entire nasal passage,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281
5,,,,,,,C0024109,Lung,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281
5,,,,,,,C0028429,Nose,https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281
6,C0009450,Communicable Diseases,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-are-diseases-spread/show/3062274
6,C0021400,Influenza,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-are-diseases-spread/show/3062274
6,C0600260,"Lung Diseases, Obstructive",,,,,,,https://www.medhelp.org/posts/Coronavirus/How-are-diseases-spread/show/3062274
6,C0085209,"Encephalopathy, Bovine Spongiform",,,,,,,https://www.medhelp.org/posts/Coronavirus/How-are-diseases-spread/show/3062274
6,C0206750,Coronavirus Infections,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-are-diseases-spread/show/3062274
6,,,C0079613,Adoptive Immunotherapy,,,,,https://www.medhelp.org/posts/Coronavirus/How-are-diseases-spread/show/3062274
6,,,C0279848,cisplatin/etoposide/mitoxantrone/tamoxifen protocol,,,,,https://www.medhelp.org/posts/Coronavirus/How-are-diseases-spread/show/3062274
6,,,,,,,C0015392,Eye,https://www.medhelp.org/posts/Coronavirus/How-are-diseases-spread/show/3062274
6,,,,,,,C0028429,Nose,https://www.medhelp.org/posts/Coronavirus/How-are-diseases-spread/show/3062274
7,C0018081,Gonorrhea,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,C0432255,Geroderma osteodysplastica,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,C0009450,Communicable Diseases,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,C0007273,Carotid Artery Diseases,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,C0744403,Gum Infection,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,C0017563,Gingival Diseases,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,C0027051,Myocardial Infarction,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,C0600260,"Lung Diseases, Obstructive",,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,C0877046,Infection of tooth,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,C0011334,Dental caries,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,C0267446,Acute gastroenteritis,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,C0012634,Disease,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,C0030193,Pain,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,C0004093,Asthenia,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,,,C0185115,Extraction,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,,,C0035849,Root Canal Therapy,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,,,C1948041,Surgical and medical procedures,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,,,C0184661,Interventional procedure,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,,,C0279848,cisplatin/etoposide/mitoxantrone/tamoxifen protocol,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,,,C1522449,Therapeutic radiology procedure,,,,,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,,,,,,,C0227089,Deciduous maxillary right second molar tooth,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,,,,,,,C0026367,Molar tooth,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,,,,,,,C1281590,Entire head,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,,,,,,,C0017562,Gingiva,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,,,,,,,C0227093,Deciduous maxillary left first molar tooth,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,,,,,,,C1550227,Body Parts - Canal,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,,,,,,,C0034169,Structure of putamen,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,,,,,,,C1281562,Entire tooth,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,,,,,,,C0040426,Tooth structure,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
7,,,,,,,C0006104,Brain,https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949
8,C1268935,Congenital Thrombotic Thrombocytopenic Purpura,,,,,,,https://www.medhelp.org/posts/Coronavirus/Quarantine-time-for-COVID19/show/3062880
8,C0009450,Communicable Diseases,,,,,,,https://www.medhelp.org/posts/Coronavirus/Quarantine-time-for-COVID19/show/3062880
8,C0023882,Little's Disease,,,,,,,https://www.medhelp.org/posts/Coronavirus/Quarantine-time-for-COVID19/show/3062880
8,C0442886,Secondary Infections,,,,,,,https://www.medhelp.org/posts/Coronavirus/Quarantine-time-for-COVID19/show/3062880
8,C1864389,PREMATURE CHROMATID SEPARATION TRAIT,,,,,,,https://www.medhelp.org/posts/Coronavirus/Quarantine-time-for-COVID19/show/3062880
8,C0025517,Metabolic Diseases,,,,,,,https://www.medhelp.org/posts/Coronavirus/Quarantine-time-for-COVID19/show/3062880
8,C2364111,Actual Inability To Taste,,,,,,,https://www.medhelp.org/posts/Coronavirus/Quarantine-time-for-COVID19/show/3062880
8,C3257980,Other symptoms,,,,,,,https://www.medhelp.org/posts/Coronavirus/Quarantine-time-for-COVID19/show/3062880
8,,,C1513378,Modest-Temperature Hyperthermia,,,,,https://www.medhelp.org/posts/Coronavirus/Quarantine-time-for-COVID19/show/3062880
8,,,C0332293,Treated with,,,,,https://www.medhelp.org/posts/Coronavirus/Quarantine-time-for-COVID19/show/3062880
8,,,C0034386,Quarantine,,,,,https://www.medhelp.org/posts/Coronavirus/Quarantine-time-for-COVID19/show/3062880
8,,,C0279848,cisplatin/etoposide/mitoxantrone/tamoxifen protocol,,,,,https://www.medhelp.org/posts/Coronavirus/Quarantine-time-for-COVID19/show/3062880
8,,,C0204727,Isolation procedure,,,,,https://www.medhelp.org/posts/Coronavirus/Quarantine-time-for-COVID19/show/3062880
8,,,C1963578,Release (procedure),,,,,https://www.medhelp.org/posts/Coronavirus/Quarantine-time-for-COVID19/show/3062880
8,,,C0920467,disorder control (procedure),,,,,https://www.medhelp.org/posts/Coronavirus/Quarantine-time-for-COVID19/show/3062880
8,,,C3275067,Cardiac Lead Procedure,,,,,https://www.medhelp.org/posts/Coronavirus/Quarantine-time-for-COVID19/show/3062880
8,,,,,,,C0423866,Downy hair,https://www.medhelp.org/posts/Coronavirus/Quarantine-time-for-COVID19/show/3062880
9,C0018099,Gout,,,,,,,https://www.medhelp.org/posts/Coronavirus/Gout-drug-colchicine-in-Covid-trial-will-publish-results-this-week/show/3062594
9,,,C1135440,Procedures involving the use of pharmaceuticals,,,,,https://www.medhelp.org/posts/Coronavirus/Gout-drug-colchicine-in-Covid-trial-will-publish-results-this-week/show/3062594
9,,,C0087111,Therapeutic procedure,,,,,https://www.medhelp.org/posts/Coronavirus/Gout-drug-colchicine-in-Covid-trial-will-publish-results-this-week/show/3062594
9,,,,,,,C0162859,Common carotid artery,https://www.medhelp.org/posts/Coronavirus/Gout-drug-colchicine-in-Covid-trial-will-publish-results-this-week/show/3062594
10,C0018081,Gonorrhea,,,,,,,https://www.medhelp.org/posts/Coronavirus/Antibodies-test-offered-by-local-pharmacy-Assure-shows-mixed-results/show/3062654
10,C0432255,Geroderma osteodysplastica,,,,,,,https://www.medhelp.org/posts/Coronavirus/Antibodies-test-offered-by-local-pharmacy-Assure-shows-mixed-results/show/3062654
10,C0267446,Acute gastroenteritis,,,,,,,https://www.medhelp.org/posts/Coronavirus/Antibodies-test-offered-by-local-pharmacy-Assure-shows-mixed-results/show/3062654
10,C0796126,AICARDI-GOUTIERES SYNDROME 1,,,,,,,https://www.medhelp.org/posts/Coronavirus/Antibodies-test-offered-by-local-pharmacy-Assure-shows-mixed-results/show/3062654
10,C0003126,Anosmia,,,,,,,https://www.medhelp.org/posts/Coronavirus/Antibodies-test-offered-by-local-pharmacy-Assure-shows-mixed-results/show/3062654
10,,,C1513378,Modest-Temperature Hyperthermia,,,,,https://www.medhelp.org/posts/Coronavirus/Antibodies-test-offered-by-local-pharmacy-Assure-shows-mixed-results/show/3062654
10,,,C0279848,cisplatin/etoposide/mitoxantrone/tamoxifen protocol,,,,,https://www.medhelp.org/posts/Coronavirus/Antibodies-test-offered-by-local-pharmacy-Assure-shows-mixed-results/show/3062654
10,,,C0152277,Incision and drainage,,,,,https://www.medhelp.org/posts/Coronavirus/Antibodies-test-offered-by-local-pharmacy-Assure-shows-mixed-results/show/3062654
